"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       
           0,      -4.004817061,      -16.49420016,      -16.96437001,               2.4,               2.4,      0.8320754698,       1.383201161
           1,      -4.160559398,      -4.122380249,      -3.874845909,              2.88,              2.88,      0.9627473163,       1.688725923
           2,      -4.329195989,      -4.314694533,      -4.057936341,             3.456,             3.456,       1.055789645,       1.916108879
           3,      -4.428154713,       -4.41311801,       -4.15230121,            4.1472,            4.1472,       1.117026747,       2.072559216
           4,      -4.491831768,      -4.477221455,      -4.210119875,           4.97664,           4.97664,        1.15345697,       2.171798902
           5,      -4.540697882,      -4.528190143,      -4.255410177,          5.971968,          5.971968,       1.172184366,       2.230831926
           6,      -4.582707888,      -4.572243088,      -4.295108106,         7.1663616,         7.1663616,       1.179877865,       2.265783281
           7,      -4.621388711,      -4.612437764,      -4.331559856,        8.59963392,        8.59963392,       1.181791893,       2.288895898
           8,      -4.658397634,      -4.650609351,      -4.365856631,        10.3195607,        10.3195607,       1.181403327,       2.307940822
           9,      -4.694485864,      -4.687696839,      -4.398591936,       12.38347284,       12.38347284,       1.180796248,       2.327343412
          10,      -4.730054889,      -4.724043845,      -4.429896147,       14.86016741,       14.86016741,       1.181023833,        2.34929468
          11,      -4.765002086,      -4.759430093,      -4.459587903,        17.8322009,        17.8322009,       1.182441492,       2.374644697
          12,      -4.798681477,      -4.793030919,      -4.487104672,       21.39864108,       21.39864108,       1.184910018,       2.403483095
          13,      -4.829842126,      -4.823202948,      -4.511119806,       25.67836929,       25.67836929,       1.187821576,       2.435384209
          14,      -4.856236987,      -4.846973806,      -4.529340416,       30.81404315,       30.81404315,       1.189994074,       2.469390728
          15,      -4.874645269,      -4.859697267,      -4.538719943,       36.97685178,       36.97685178,       1.189476406,       2.503827981
          16,      -4.882185589,      -4.855542785,      -4.536661714,       44.37222213,       44.37222213,       1.183280824,       2.535822184
          17,      -4.878680228,      -4.829239705,      -4.523435032,       4.437222213,       4.437222213,       1.167107948,       2.560349169
          18,      -4.868041959,      -4.779794727,      -4.503176174,       5.324666656,       5.324666656,       1.165376237,       2.562670283
          19,      -4.862683796,      -4.771834706,      -4.498105381,       6.389599987,       6.389599987,       1.163169887,       2.565256395
          20,      -4.856622058,      -4.761784069,      -4.492144159,       7.667519985,       7.667519985,       1.160338782,       2.568068589
          21,       -4.84989018,      -4.749108043,      -4.485154793,       9.201023982,       9.201023982,       1.156675862,       2.571013746
          22,      -4.842550894,      -4.733311128,       -4.47700205,       11.04122878,       11.04122878,       1.151894862,       2.573918918
          23,       -4.83468903,      -4.714066908,      -4.467581006,       13.24947453,       13.24947453,       1.145576811,        2.57650199
          24,      -4.826527145,      -4.691005195,        -4.4567144,       15.89936944,       15.89936944,       1.137140194,       2.578273229
          25,      -4.818251655,      -4.664118171,      -4.444408147,       19.07924333,       19.07924333,       1.125752756,       2.578454028
          26,      -4.810094269,      -4.633597026,      -4.430835233,       22.89509199,       22.89509199,       1.110257734,       2.575867247
          27,      -4.802408628,      -4.599781535,      -4.416329067,       27.47411039,       27.47411039,       1.089218869,       2.568827987
          28,      -4.795750111,      -4.563206191,      -4.401349293,       32.96893247,       32.96893247,       1.061135179,       2.555012027
          29,      -4.790908807,      -4.524747117,      -4.386478847,       39.56271897,       39.56271897,          1.024574,       2.531091249
          30,      -4.788863772,      -4.485831387,      -4.372516945,       47.47526276,       47.47526276,      0.9779068762,       2.491829331
          31,       -4.79059296,      -4.448725106,      -4.360691347,       47.47526276,       47.47526276,      0.9188765143,        2.42888265
