"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      
           0,      -4.142190653,      -16.58680164,       -17.0423383,      -8.959968109,               2.4,               2.4,      0.8234554899,       1.381861621,       1.986624812
           1,      -4.270709313,      -4.244585804,      -3.986376854,      -9.083715457,              2.88,              2.88,      0.9801443824,       1.746078401,       2.501765916
           2,      -4.412001733,      -4.396440395,      -4.158907928,      -9.306992039,             3.456,             3.456,       1.088796112,       2.007878273,       2.875284744
           3,      -4.502183295,      -4.490986026,      -4.225440956,      -9.498036495,            4.1472,            4.1472,       1.146399931,       2.152774052,       3.075135408
           4,      -4.571762658,      -4.562434635,      -4.280327162,      -9.677417222,           4.97664,           4.97664,       1.166409393,       2.215734072,       3.149395867
           5,      -4.612653768,      -4.599752878,      -4.326556642,       -9.76824851,          5.971968,          5.971968,       1.168458574,       2.240266689,       3.168874395
           6,      -4.658706479,      -4.648020672,      -4.366440859,      -9.838173318,         7.1663616,         7.1663616,       1.166282483,       2.253982706,       3.178063178
           7,      -4.704140295,      -4.697008576,      -4.406482761,      -9.901279107,        8.59963392,        8.59963392,       1.168865297,       2.279964208,       3.208570255
           8,      -4.747846576,      -4.741704452,      -4.445708588,      -9.969435142,        10.3195607,        10.3195607,       1.173205884,        2.30940992,       3.245292054
           9,      -4.791058392,      -4.784263226,      -4.483209394,      -10.02427053,       12.38347284,       12.38347284,       1.179230558,       2.341970618,       3.287823733
          10,      -4.833142536,      -4.825402395,      -4.518621416,      -10.07573244,       14.86016741,       14.86016741,       1.186848204,       2.378635342,       3.336355634
