"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       
           0,      -3.662637473,      -16.14966877,      -16.66993637,      -5.787732991,      -1.013177171,               2.4,               2.4,       4.561821866,      0.4413306272
           1,      -3.811045866,      -2.408807499,      -2.723942316,      -4.280293733,       6.078881638,              2.88,              2.88,       3.993877151,      0.3849263564
           2,       -3.85919204,      -3.233840547,      -3.439896962,      -4.266228052,       5.197278665,             3.456,             3.456,       3.268114699,       0.376020232
           3,      -3.957530343,      -3.415319535,      -3.676242539,      -4.890353588,       4.201026497,            4.1472,            4.1472,       2.760889979,      0.4749508833
           4,       -4.03112353,      -3.569502098,      -3.835656706,      -5.140250303,       3.631057329,           4.97664,           4.97664,       2.402253499,      0.6360339239
           5,       -4.09357313,      -3.702486504,      -3.934559508,      -5.317461416,        3.40839427,          5.971968,          5.971968,       2.146499725,       0.830163551
           6,      -4.149621403,      -3.818584451,      -3.994155223,      -5.461168561,       3.262881974,         7.1663616,         7.1663616,       1.962927947,       1.038497278
           7,       -4.19892433,      -3.920571821,      -4.027019102,      -5.583102381,       3.149397812,        8.59963392,        8.59963392,       1.829905431,       1.247872029
           8,      -4.241059112,      -4.010505594,      -4.045928712,      -5.689619151,       3.060502526,        10.3195607,        10.3195607,       1.731357722,       1.447941402
           9,      -4.279230241,       -4.09057852,      -4.062812362,      -5.785025802,        2.98342404,       12.38347284,       12.38347284,       1.654879597,       1.629976573
          10,      -4.320230335,      -4.163751455,      -4.084459474,      -5.874563392,       2.902929775,       14.86016741,       14.86016741,       1.591122967,       1.787308758
          11,      -4.373368051,       -4.23534305,      -4.118527067,      -5.964023264,       2.805630324,        17.8322009,        17.8322009,       1.534047829,       1.916795787
          12,      -4.435729608,      -4.306082602,      -4.159487813,      -6.056589769,       2.681905317,       21.39864108,       21.39864108,       1.481124765,       2.019937695
          13,      -4.480957292,      -4.364466612,      -4.181542995,      -6.151714212,       2.524159218,       25.67836929,       25.67836929,        1.43233716,       2.102248171
          14,      -4.486864714,      -4.392295001,      -4.165444385,      -6.239112063,       2.329115565,       30.81404315,       30.81404315,       1.387722293,       2.171019291
          15,      -4.460461862,      -4.377453816,      -4.118759931,      -6.294207355,       2.218280569,       36.97685178,       36.97685178,       1.344409976,       2.232484401
          16,      -4.423331761,      -4.322731806,       -4.06094125,      -6.318833713,       2.326267526,       44.37222213,       44.37222213,        1.29532444,       2.289829467
          17,      -4.399043611,      -4.243903427,      -4.008116452,      -6.336052443,       2.382794299,       53.24666656,       53.24666656,       1.229197459,       2.338127451
