"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      
           0,      -4.142190653,      -16.59056127,         -17.04463,      -8.959968109,               2.4,               2.4,      0.8234554917,       1.381861615,       1.986624805
           1,      -4.297881284,      -4.261538271,      -4.011463373,      -9.082859318,              2.88,              2.88,      0.9554827171,       1.689150067,       2.403672888
           2,      -4.466200605,       -4.45467531,      -4.194896714,      -9.306462105,             3.456,             3.456,       1.049639287,       1.917841373,       2.719642212
           3,      -4.565162947,       -4.55262415,      -4.289205247,       -9.50427299,            4.1472,            4.1472,       1.111976307,       2.075567646,       2.938615337
           4,      -4.628932344,      -4.616414625,      -4.346876434,      -9.684100529,           4.97664,           4.97664,       1.149639757,       2.176317241,       3.077834067
           5,      -4.677955468,      -4.667265711,      -4.391921329,      -9.790204428,          5.971968,          5.971968,       1.169743441,       2.237101683,        3.16056337
           6,      -4.720169462,      -4.711267795,       -4.43130261,      -9.864709883,         7.1663616,         7.1663616,       1.179100703,        2.27436688,       3.209840245
           7,      -4.759152539,      -4.751463634,      -4.467328869,      -9.930157935,        8.59963392,        8.59963392,       1.183032199,       2.300525815,       3.243181977
           8,      -4.796573839,      -4.789688731,      -4.501093163,      -9.998008864,        10.3195607,        10.3195607,       1.185028677,       2.323406637,       3.271678279
           9,      -4.833161388,      -4.826874105,      -4.533253501,      -10.05006647,       12.38347284,       12.38347284,       1.187012081,        2.34712487,        3.30117816
          10,       -4.86920325,      -4.863329735,      -4.564135151,      -10.09680311,       14.86016741,       14.86016741,       1.189916171,       2.373578532,       3.334378327
          11,       -4.90476255,      -4.898980266,      -4.593675518,      -10.14623332,        17.8322009,        17.8322009,       1.194028272,       2.403397054,         3.3721458
          12,      -4.939419283,       -4.93326643,      -4.621534315,      -10.18994707,       21.39864108,       21.39864108,       1.199154168,       2.436401036,       3.414165859
          13,      -4.972191423,      -4.964973602,      -4.646960721,      -10.22819957,       25.67836929,       25.67836929,       1.204634973,       2.471755099,       3.459142101
          14,      -5.001412548,      -4.991953739,      -4.668452256,      -10.26199243,       30.81404315,       30.81404315,       1.209393592,       2.508198099,       3.505081018
          15,      -5.024641247,      -5.010766306,       -4.68355181,      -10.28651044,       36.97685178,       36.97685178,       1.211859929,       2.544073023,       3.549269401
          16,      -5.038782668,      -5.016582159,      -4.689466926,      -10.30054485,       44.37222213,       44.37222213,       1.209801688,       2.577118669,        3.58790158
          17,       -5.04164009,      -5.004110939,      -4.684589096,      -10.30488746,       4.437222213,       4.437222213,       1.200090563,       2.604026114,       3.615353735
          18,      -5.034239661,      -4.969690057,      -4.670097461,      -10.31314355,       5.324666656,       5.324666656,       1.199034205,       2.606593395,       3.617914612
          19,      -5.029173097,      -4.962989896,       -4.66540691,      -10.30928528,       6.389599987,       6.389599987,       1.197661464,       2.609498341,       3.620720114
          20,      -5.023342624,       -4.95450031,       -4.65987306,      -10.30484303,       7.667519985,       7.667519985,       1.195864509,       2.612733175,       3.623704772
          21,       -5.01673121,       -4.94371139,      -4.653354548,      -10.29982052,       9.201023982,       9.201023982,       1.193494056,        2.61625401,       3.626739346
          22,      -5.009340992,      -4.930114744,      -4.645701139,      -10.29420831,       11.04122878,       11.04122878,       1.190343642,       2.619965605,       3.629601663
