"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     
          0,           0,           0,      -3.649955518,      -16.16935741,      -16.69522672
          0,           0,           1,      -3.803300538,      -3.106566498,      -3.280510211
          0,           0,           2,      -3.918388497,      -3.292762626,      -3.529845397
          0,           0,           3,      -4.001873124,      -3.453856316,       -3.71851269
          0,           0,           4,      -4.071418711,      -3.594529769,      -3.850315972
          0,           0,           5,      -4.135833812,      -3.718864441,      -3.944237864
          0,           0,           6,       -4.19789727,      -3.830096808,      -4.013248893
          0,           0,           7,      -4.257118005,      -3.930751475,      -4.063460139
          0,           0,           8,      -4.312120365,      -4.022657977,      -4.099735076
          0,           0,           9,      -4.362092487,      -4.107034776,      -4.127260344
          0,           0,          10,      -4.406574599,      -4.184472216,      -4.149773816
          0,           0,          11,      -4.444064643,       -4.25448183,      -4.167404907
          0,           0,          12,      -4.470113412,       -4.31399383,      -4.174951628
          0,           0,          13,      -4.476690258,      -4.354573789,       -4.16259647
          0,           0,          14,      -4.458394556,      -4.362701426,      -4.124593297
          0,           0,          15,      -4.423054088,      -4.330713069,      -4.069692038
          0,           0,          16,      -4.388540687,      -4.267578764,      -4.014831842
          0,           0,          17,      -4.372652034,      -4.188979349,      -3.968862078
          0,           0,          18,      -4.383650053,      -4.111042581,      -3.935664913
          0,           0,          19,      -4.421930441,      -4.050171684,      -3.919427491
          0,           0,          20,      -4.483017595,      -4.018240768,      -3.925763314
          0,           0,          21,      -4.485612054,      -4.012437256,      -3.922574646
          0,           0,          22,      -4.489374558,       -4.00466799,      -3.919197504
          0,           0,          23,       -4.49482249,      -3.994949579,      -3.916257769
          0,           0,          24,      -4.501850555,      -3.983604068,      -3.914599835
          0,           0,          25,      -4.510058931,      -3.971484194,      -3.915180246
          0,           0,          26,      -4.519041076,      -3.959861978,      -3.918959588
          0,           0,          27,      -4.528639752,       -3.95016028,      -3.926833863
          0,           0,          28,      -4.538983998,      -3.943611225,      -3.939545562
          0,           0,          29,      -4.549980569,      -3.941084605,      -3.957376266
          0,           0,          30,      -4.560892767,      -3.943253543,      -3.979586889
          0,           0,          31,      -4.570644493,      -3.951505322,       -4.00424166
          0,           0,          32,      -4.579016343,      -3.969218602,      -4.029430122
          0,           0,          33,      -4.587806255,      -4.001717244,      -4.054566416
          0,           0,          34,      -4.602901183,      -4.052880432,      -4.078814144
          0,           0,          35,      -4.603689734,      -4.054139685,      -4.078140953
          0,           0,          36,      -4.603514026,      -4.055635817,      -4.077331511
          0,           0,          37,      -4.603193937,      -4.057573511,      -4.076543678
          0,           0,          38,      -4.603094444,       -4.06015054,      -4.075855858
          0,           0,          39,      -4.603591612,      -4.063583293,      -4.075224504
          0,           0,          40,      -4.605244408,       -4.06802906,      -4.074475264
          0,           0,          41,       -4.60888954,      -4.073477279,      -4.073366011
          0,           0,          42,      -4.615687825,      -4.079621464,      -4.071766322
          0,           0,          43,      -4.627105088,      -4.085796007,      -4.069921183
          0,           0,          44,      -4.644733354,      -4.091195016,      -4.068710441
          0,           0,          45,      -4.669821662,      -4.095694683,      -4.069776683
          0,           0,          46,      -4.702455775,      -4.101414142,      -4.075468434
