"Inner_Iter",     "rms[k]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       
           0,      -5.775064562,               2.4,               2.4,       4.561838698,      0.4413295094
           1,      -4.267628029,              2.88,              2.88,       3.994003128,      0.3851713101
           2,      -4.253547362,             3.456,             3.456,       3.265834362,      0.3736557269
           3,      -4.877623694,            4.1472,            4.1472,       2.755586288,      0.4698571172
           4,      -5.127506753,           4.97664,           4.97664,       2.395651778,      0.6314036631
           5,      -5.304670869,          5.971968,          5.971968,        2.14002722,      0.8278959419
           6,      -5.448206691,         7.1663616,         7.1663616,       1.957525001,       1.039220791
           7,      -5.569739915,        8.59963392,        8.59963392,       1.825970121,       1.251282887
           8,      -5.675545286,        10.3195607,        10.3195607,       1.728874285,       1.453227389
           9,      -5.769970664,       12.38347284,       12.38347284,       1.653645832,       1.636324837
          10,      -5.858746935,       14.86016741,       14.86016741,       1.590710843,       1.793660628
          11,      -5.948657708,        17.8322009,        17.8322009,       1.534074031,       1.922330049
          12,      -6.043074857,       21.39864108,       21.39864108,       1.481592731,       2.024743865
          13,      -6.140036406,       25.67836929,       25.67836929,       1.433976203,       2.108080301
          14,      -6.226326182,       30.81404315,       30.81404315,       1.391766449,       2.180991553
          15,       -6.27197729,       36.97685178,       36.97685178,       1.351538608,       2.249311948
          16,      -6.283247537,       44.37222213,       44.37222213,       1.304229131,       2.313798982
          17,      -6.290711315,       53.24666656,       53.24666656,       1.235206639,       2.367246516
          18,      -6.295599423,       63.89599987,       63.89599987,       1.128846936,       2.386602974
          19,      -6.301246495,       6.389599987,       6.389599987,      0.9781068748,       2.334481379
          20,      -6.549168976,       7.667519985,       7.667519985,      0.9621013071,       2.328767477
          21,      -6.548634522,       9.201023982,       9.201023982,      0.9425242381,       2.320803126
          22,      -6.547206857,       11.04122878,       11.04122878,      0.9187419589,       2.309623347
          23,       -6.54413558,       13.24947453,       13.24947453,      0.8899430946,       2.293791873
          24,      -6.538966249,       15.89936944,       15.89936944,      0.8551606819,       2.271131076
          25,      -6.531436356,       19.07924333,       19.07924333,      0.8132956509,       2.238330146
          26,      -6.521191564,       22.89509199,       22.89509199,      0.7631847615,       2.190583943
          27,      -6.508004935,       27.47411039,       27.47411039,      0.7038456887,       2.121617298
          28,      -6.493669281,       32.96893247,       32.96893247,      0.6349625051,       2.024297076
          29,       -6.48459239,       39.56271897,       39.56271897,       0.557223358,       1.891691964
          30,      -6.488087513,       47.47526276,       47.47526276,       0.471832833,       1.718573174
          31,       -6.49337496,       56.97031531,       56.97031531,      0.3795414089,       1.503923452
          32,      -6.467082352,       68.36437837,       68.36437837,       0.282039947,       1.257211002
          33,      -6.426121984,       6.836437837,       6.836437837,      0.1842196901,       1.000678284
          34,       -6.83851227,       8.203725405,       8.203725405,      0.1738454909,      0.9733918391
          35,       -6.82845412,       9.844470486,       9.844470486,      0.1618230137,      0.9415593086
          36,      -6.812276847,       11.81336458,       11.81336458,       0.147958168,      0.9047128439
          37,      -6.796196001,        14.1760375,        14.1760375,      0.1320033468,      0.8622544596
          38,       -6.77826349,         17.011245,         17.011245,      0.1136936613,      0.8135824387
          39,      -6.756655778,         20.413494,         20.413494,     0.09280765521,      0.7581603976
          40,      -6.731917353,        24.4961928,        24.4961928,     0.06936711003,      0.6957866664
          41,      -6.706828698,       29.39543136,       29.39543136,     0.04382379188,      0.6268463319
          42,       -6.68378919,       35.27451763,       35.27451763,     0.01727836021,       0.553204377
          43,      -6.664072452,       42.32942116,       42.32942116,   -0.008729758796,      0.4785194638
          44,      -6.644607357,       50.79530539,       50.79530539,     -0.0322997853,      0.4088736178
          45,      -6.613349874,       60.95436647,       60.95436647,    -0.05102649736,      0.3530594193
          46,      -6.552848906,       73.14523976,       73.14523976,    -0.06095893924,       0.324494847
          47,       -6.47498211,       7.314523976,       7.314523976,    -0.05497722145,      0.3445652058
          48,      -6.760432516,       8.777428771,       8.777428771,    -0.05419333593,      0.3470571657
          49,      -6.745192607,       10.53291453,       10.53291453,    -0.05299700349,      0.3508718789
          50,      -6.728950287,       12.63949743,       12.63949743,      -0.051184234,      0.3566094204
          51,      -6.711775641,       15.16739692,       15.16739692,    -0.04845065764,      0.3651579646
          52,      -6.690852299,        18.2008763,        18.2008763,    -0.04432607665,       0.377833596
          53,      -6.666263954,       21.84105156,       21.84105156,    -0.03805098999,      0.3966777037
          54,      -6.639288805,       26.20926187,       26.20926187,    -0.02851193697,       0.424700393
