"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      
           0,      -5.772323075,      -4.593028307,      -4.677888021,      -9.248661617,               2.4,               2.4,      0.2626356832,       1.155627345,       1.271607598
           1,      -5.839703523,      -4.609059983,       -4.69573642,      -8.923129302,              2.88,              2.88,      0.2627058575,       1.155976655,        1.27199311
           2,      -5.816465399,      -4.623969613,      -4.716847399,      -8.731587026,             3.456,             3.456,      0.2627700763,       1.156322728,       1.272360874
           3,      -5.742372213,      -4.636466173,       -4.74356286,      -8.604200036,            4.1472,            4.1472,      0.2628095633,       1.156611037,       1.272648133
           4,      -5.671426168,      -4.645080981,      -4.779437936,      -8.521138729,           4.97664,           4.97664,      0.2628149899,       1.156781845,       1.272802919
           5,      -5.624559316,      -4.648802641,      -4.828573135,      -8.475296622,          5.971968,          5.971968,      0.2627844466,       1.156784394,        1.27279752
           6,      -5.607847996,      -4.647908082,      -4.893881728,      -8.462964837,         7.1663616,         7.1663616,       0.262707753,       1.156587305,       1.272624927
           7,      -5.621370328,      -4.644290396,      -4.974756758,       -8.47992204,        8.59963392,        8.59963392,      0.2625416777,       1.156166608,       1.272268693
           8,      -5.658555154,      -4.640801648,      -5.061841772,      -8.517457755,        10.3195607,        10.3195607,       0.262187795,       1.155464493,        1.27165458
           9,      -5.706405251,      -4.639960496,      -5.124434087,      -8.560409879,       12.38347284,       12.38347284,      0.2614766157,         1.1543331,       1.270601195
          10,      -5.753309299,      -4.642753173,      -5.123024858,      -8.585992196,       14.86016741,       14.86016741,      0.2601495788,       1.152479601,       1.268768148
          11,      -5.796585556,      -4.648071446,      -5.076866691,      -8.576310903,        17.8322009,        17.8322009,      0.2578371369,       1.149422356,       1.265588587
          12,      -5.839062482,      -4.653277555,      -5.036458112,      -8.531937511,       21.39864108,       21.39864108,      0.2540637595,       1.144498362,       1.260222354
          13,      -5.884575982,        -4.6560613,      -5.021479342,      -8.469247306,       25.67836929,       25.67836929,       0.248344796,       1.137036883,        1.25168032
          14,      -5.933849653,       -4.65611174,      -5.025251932,      -8.399197502,       30.81404315,       30.81404315,      0.2404243795,       1.126820393,       1.239336609
          15,       -5.97995304,      -4.654573903,      -5.030633254,      -8.326561474,       36.97685178,       36.97685178,      0.2305798332,       1.114683181,       1.223774643
          16,      -6.014517302,      -4.652219212,      -5.025920048,      -8.252640477,       44.37222213,       44.37222213,      0.2197533443,       1.102638762,       1.207246307
          17,      -6.038114974,      -4.648892994,      -5.011547919,      -8.177337968,       53.24666656,       53.24666656,      0.2093145493,       1.092987873,       1.192810646
          18,      -6.056979367,      -4.644257678,      -4.990872375,      -8.101447942,       5.324666656,       5.324666656,      0.2005899923,       1.086910637,        1.18242157
          19,      -6.071174978,      -4.638209112,      -4.964989355,      -8.088174034,       6.389599987,       6.389599987,      0.1997442367,       1.086354462,        1.18144392
          20,      -6.062220202,      -4.637761857,      -4.988736464,      -8.076191604,       7.667519985,       7.667519985,      0.1987896557,       1.085768019,       1.180377391
          21,      -6.059765978,      -4.635311624,      -5.029679158,      -8.063624325,       9.201023982,       9.201023982,      0.1977221202,       1.085164468,       1.179230523
          22,      -6.095772048,      -4.632327387,      -5.071614773,       -8.04994412,       11.04122878,       11.04122878,      0.1965480864,       1.084566638,       1.178026426
          23,      -6.134652333,      -4.630518681,      -5.090841355,      -8.034357528,       13.24947453,       13.24947453,      0.1952865882,       1.084003482,       1.176798294
          24,      -6.140094626,      -4.630509638,      -5.077013104,      -8.016014839,       15.89936944,       15.89936944,      0.1939724374,       1.083504268,       1.175581234
          25,      -6.130852371,      -4.631449344,      -5.048269706,      -7.994449141,       19.07924333,       19.07924333,       0.192660938,       1.083089661,       1.174398752
          26,      -6.125427577,      -4.632037213,      -5.025742815,      -7.969771361,       22.89509199,       22.89509199,      0.1914328314,       1.082763178,       1.173245398
          27,       -6.12368706,      -4.631776692,      -5.012935562,      -7.942101029,       27.47411039,       27.47411039,      0.1903972534,       1.082512227,       1.172074546
          28,      -6.118931975,      -4.631048892,      -5.002252559,      -7.911688593,       32.96893247,       32.96893247,      0.1896893663,       1.082327931,       1.170805926
          29,      -6.107133024,      -4.630243297,      -4.987683186,      -7.878592017,       39.56271897,       39.56271897,      0.1894608433,       1.082246054,       1.169369256
          30,      -6.090054839,      -4.629433729,       -4.96928527,      -7.842843466,       47.47526276,       47.47526276,      0.1898658224,       1.082416678,       1.167804766
          31,      -6.072029617,      -4.628586918,      -4.948811808,      -7.805035002,       56.97031531,       56.97031531,      0.1910460244,       1.083204104,       1.166438387
          32,      -6.049591537,      -4.627866128,      -4.927130523,      -7.765545836,       68.36437837,       68.36437837,       0.193112075,       1.085303702,       1.166115589
          33,      -6.016534531,      -4.627864175,      -4.904830761,      -7.724954446,       6.836437837,       6.836437837,      0.1960962405,       1.089735422,       1.168346829
          34,      -5.992040582,      -4.629344077,      -4.883515435,      -7.708791291,       8.203725405,       8.203725405,       0.196402422,       1.090208181,       1.168604189
          35,      -5.997030408,       -4.62854936,      -4.944064631,      -7.701926691,       9.844470486,       9.844470486,      0.1967787366,       1.090804927,       1.168955897
          36,      -6.052199672,      -4.625821071,      -5.026846782,      -7.694712885,       11.81336458,       11.81336458,      0.1972374122,        1.09155464,        1.16943164
          37,      -6.162319828,      -4.626180268,       -5.07381625,      -7.686600736,        14.1760375,        14.1760375,        0.19779407,       1.092503853,        1.17008403
          38,      -6.177678416,      -4.630906106,      -5.055377111,      -7.677044132,         17.011245,         17.011245,      0.1984659784,        1.09371876,       1.170993236
          39,      -6.147102094,      -4.637700326,      -5.015960195,      -7.665879208,         20.413494,         20.413494,      0.1992736062,       1.095291416,       1.172278662
          40,       -6.13275278,      -4.644260351,       -4.99383584,      -7.653281348,        24.4961928,        24.4961928,      0.2002449587,       1.097352397,       1.174120446
          41,      -6.128820055,      -4.650563347,      -4.987611472,       -7.63927298,       29.39543136,       29.39543136,       0.201417384,        1.10008339,       1.176783767
          42,      -6.124345237,      -4.657667409,      -4.983233191,       -7.62388266,       35.27451763,       35.27451763,      0.2028283637,       1.103712812,       1.180628535
          43,      -6.114998722,      -4.666196167,      -4.974937317,      -7.607264588,       42.32942116,       42.32942116,      0.2044916531,       1.108479718,       1.186086274
          44,      -6.105154173,      -4.676125276,      -4.965405528,      -7.589396576,       50.79530539,       50.79530539,      0.2063610373,       1.114553517,       1.193580932
          45,      -6.098890808,      -4.687491247,       -4.95732068,      -7.570473679,       60.95436647,       60.95436647,       0.208294738,       1.121917008,       1.203380696
          46,      -6.096019582,       -4.70061628,      -4.951084168,      -7.550660298,       73.14523976,       73.14523976,       0.210049482,       1.130259658,        1.21540628
          47,       -6.09267197,      -4.715951751,      -4.947146158,      -7.530089828,       7.314523976,       7.314523976,      0.2113470057,       1.138985808,       1.229097052
          48,      -6.088655972,      -4.733954782,      -4.946502656,       -7.51771019,       8.777428771,       8.777428771,      0.2114744858,       1.139867692,       1.230484985
          49,      -6.096139121,      -4.734726571,      -5.032713954,      -7.514172852,       10.53291453,       10.53291453,      0.2116120826,       1.140898338,       1.232129735
          50,      -6.207208906,      -4.735489292,      -5.135686485,      -7.510384568,       12.63949743,       12.63949743,       0.211758306,       1.142096498,         1.2340724
          51,      -6.361792717,      -4.742883869,      -5.172597564,      -7.506065618,       15.16739692,       15.16739692,      0.2119089074,       1.143482214,       1.236359963
          52,       -6.33200243,      -4.756114079,      -5.138589443,      -7.501035036,        18.2008763,        18.2008763,      0.2120565008,       1.145076475,       1.239043593
          53,      -6.292793948,      -4.771039763,       -5.10472337,      -7.495282946,       21.84105156,       21.84105156,      0.2121925782,       1.146899488,       1.242175769
          54,      -6.279847368,      -4.785701798,      -5.097380778,      -7.488871946,       26.20926187,       26.20926187,      0.2123096888,       1.148967542,        1.24580441
          55,      -6.276470473,      -4.801254199,      -5.103129111,      -7.481833865,       31.45111425,       31.45111425,      0.2124003228,       1.151285549,       1.249958072
          56,      -6.268928382,      -4.819083208,      -5.107495167,      -7.474162076,        37.7413371,        37.7413371,      0.2124534354,       1.153836023,       1.254621557
          57,      -6.256087458,      -4.839470897,      -5.109542571,      -7.465843336,       45.28960451,       45.28960451,      0.2124555857,       1.156570198,       1.259710952
          58,      -6.246031624,      -4.862228908,      -5.113713724,       -7.45689132,       54.34752542,       54.34752542,      0.2124044772,       1.159402502,       1.265057106
          59,      -6.240392204,      -4.887302997,      -5.121920658,      -7.447326407,       54.34752542,       54.34752542,      0.2123385383,       1.162209499,        1.27040869
          60,      -6.238281545,      -4.914977096,      -5.134083577,       -7.43746064,       5.434752542,       5.434752542,      0.2123430307,       1.164496494,       1.274797331
          61,      -6.254738294,      -4.942937566,      -5.159882681,      -7.430700201,        6.52170305,        6.52170305,      0.2123455499,         1.1647264,       1.275234823
          62,      -6.250924913,      -4.945809848,      -5.239383087,      -7.429311017,        7.82604366,        7.82604366,      0.2123486803,       1.164992704,       1.275742423
          63,      -6.312724328,      -4.948414699,      -5.340370646,      -7.427793939,       9.391252392,       9.391252392,      0.2123535231,       1.165298971,       1.276328797
          64,      -6.407989191,      -4.957031452,      -5.393153418,      -7.426041075,       11.26950287,       11.26950287,      0.2123621142,       1.165648261,       1.277001665
          65,      -6.404895525,      -4.972313162,      -5.371445743,      -7.424001496,       13.52340344,       13.52340344,      0.2123771375,       1.166043679,       1.277767779
          66,      -6.382420773,      -4.990550842,      -5.333550349,      -7.421635269,       16.22808413,       16.22808413,      0.2124028781,       1.166488431,       1.278632562
          67,      -6.375569315,      -5.008703273,      -5.321521842,      -7.418946529,       19.47370096,       19.47370096,      0.2124476966,        1.16698511,       1.279599613
          68,       -6.37478015,      -5.027099232,      -5.330972808,      -7.415939937,       23.36844115,       23.36844115,      0.2125270592,       1.167534457,       1.280670291
          69,      -6.374951117,      -5.047456566,      -5.343502033,      -7.412599988,       28.04212938,       28.04212938,      0.2126662688,       1.168135184,       1.281844449
          70,      -6.371717332,      -5.070439146,      -5.351378157,      -7.408881934,       33.65055526,       33.65055526,      0.2129038083,       1.168788657,       1.283126353
          71,      -6.367856149,      -5.095517847,      -5.358631043,      -7.404762691,       40.38066631,       40.38066631,      0.2132967138,       1.169510827,       1.284540281
          72,      -6.366700173,      -5.122457705,      -5.369646467,      -7.400255758,       48.45679957,       48.45679957,      0.2139253655,       1.170346584,       1.286153188
          73,      -6.370277935,      -5.150973698,      -5.384643556,      -7.395353172,       4.845679957,       4.845679957,      0.2148871058,       1.171373051,       1.288089173
          74,      -6.377515329,      -5.180808904,      -5.403391887,      -7.390801258,       5.814815949,       5.814815949,      0.2149853861,       1.171477809,       1.288284397
          75,      -6.378381626,      -5.184875187,      -5.465640667,      -7.390118452,       6.977779139,       6.977779139,      0.2151059912,       1.171604132,       1.288518866
          76,       -6.40335191,      -5.188410281,       -5.54082638,      -7.389351175,       8.373334966,       8.373334966,      0.2152545494,       1.171755802,       1.288800269
          77,      -6.439222761,       -5.19645701,      -5.581339048,      -7.388464997,       10.04800196,       10.04800196,      0.2154386798,       1.171937476,       1.289138116
          78,      -6.440868806,       -5.20986239,      -5.573165585,      -7.387425807,       12.05760235,       12.05760235,      0.2156678225,       1.172155308,       1.289544447
          79,      -6.434214609,      -5.225772415,      -5.548827465,      -7.386215108,       14.46912282,       14.46912282,      0.2159534378,       1.172417879,       1.290034963
