"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      
           0,      -9.639454549,        -7.7183485,      -8.306275932,      -9.617991287,               2.4,               2.4,      0.1463987871,       1.055947641,       1.095280193
           1,      -9.640001513,      -7.718380443,       -8.30635251,      -9.617982178,              2.88,              2.88,      0.1463987357,       1.055947931,       1.095280429
           2,      -9.640302223,      -7.718415494,      -8.306441876,      -9.617971701,             3.456,             3.456,       0.146398671,       1.055948296,       1.095280727
           3,      -9.640470509,      -7.718452317,       -8.30654301,      -9.617959783,            4.1472,            4.1472,       0.146398591,       1.055948747,       1.095281094
           4,      -9.640606057,      -7.718489293,       -8.30664918,      -9.617946294,           4.97664,           4.97664,      0.1463984933,       1.055949296,       1.095281542
           5,      -9.640743457,      -7.718525605,      -8.306751291,      -9.617930965,          5.971968,          5.971968,      0.1463983754,       1.055949958,       1.095282081
           6,      -9.640867243,      -7.718562238,      -8.306841981,      -9.617913349,         7.1663616,         7.1663616,      0.1463982337,       1.055950753,        1.09528273
           7,      -9.640967595,      -7.718601704,       -8.30691811,      -9.617892867,        8.59963392,        8.59963392,      0.1463980635,       1.055951707,       1.095283508
           8,      -9.641057173,      -7.718646187,      -8.306980694,      -9.617868949,        10.3195607,        10.3195607,      0.1463978594,       1.055952852,       1.095284441
           9,       -9.64114139,      -7.718695657,      -8.307031972,      -9.617841157,       12.38347284,       12.38347284,      0.1463976145,       1.055954226,       1.095285561
          10,      -9.641193438,      -7.718747578,      -8.307071858,       -9.61780924,       14.86016741,       14.86016741,      0.1463973208,       1.055955876,       1.095286906
          11,      -9.641151523,      -7.718798078,       -8.30709302,      -9.617773144,        17.8322009,        17.8322009,      0.1463969688,       1.055957854,       1.095288519
          12,       -9.64091627,       -7.71884229,      -8.307081671,       -9.61773344,        1.78322009,        1.78322009,      0.1463965462,       1.055960225,       1.095290452
          13,      -9.640331509,      -7.718886296,      -8.306835472,      -9.617908909,       2.139864108,       2.139864108,      0.1463965102,       1.055960428,       1.095290618
          14,      -9.640933943,       -7.71891478,      -8.306897757,      -9.617900402,       2.567836929,       2.567836929,      0.1463964648,       1.055960683,       1.095290825
          15,      -9.641287325,      -7.718945853,      -8.306981422,      -9.617890555,       3.081404315,       3.081404315,      0.1463964078,       1.055961003,       1.095291086
          16,      -9.641482371,      -7.718978261,      -8.307089465,      -9.617879301,       3.697685178,       3.697685178,      0.1463963368,       1.055961401,       1.095291411
          17,      -9.641620285,       -7.71901037,       -8.30721677,      -9.617866548,       4.437222213,       4.437222213,      0.1463962498,       1.055961887,       1.095291807
          18,      -9.641752808,      -7.719041108,      -8.307350593,      -9.617852106,       5.324666656,       5.324666656,      0.1463961444,       1.055962475,       1.095292286
          19,      -9.641868768,      -7.719071122,      -8.307474895,      -9.617835612,       6.389599987,       6.389599987,      0.1463960175,       1.055963181,       1.095292861
          20,      -9.641945663,      -7.719102999,       -8.30757679,      -9.617816532,       7.667519985,       7.667519985,      0.1463958651,       1.055964027,        1.09529355
          21,      -9.641990218,      -7.719139709,      -8.307652573,      -9.617794264,       9.201023982,       9.201023982,      0.1463956819,       1.055965041,       1.095294376
          22,      -9.642018099,      -7.719182281,      -8.307708022,       -9.61776829,       11.04122878,       11.04122878,      0.1463954616,       1.055966256,       1.095295365
          23,      -9.642019634,      -7.719228895,       -8.30775088,       -9.61773825,       13.24947453,       13.24947453,      0.1463951968,       1.055967712,       1.095296548
          24,      -9.641952588,      -7.719275985,      -8.307781729,      -9.617703968,       15.89936944,       15.89936944,      0.1463948786,       1.055969458,       1.095297966
          25,      -9.641744639,      -7.719319589,      -8.307789299,      -9.617665481,       19.07924333,       19.07924333,       0.146394497,       1.055971551,       1.095299666
          26,      -9.641285991,       -7.71935622,      -8.307733135,      -9.617624114,       1.907924333,       1.907924333,      0.1463940395,       1.055974063,       1.095301705
          27,      -9.640381999,      -7.719403168,      -8.307228651,      -9.617810573,       2.289509199,       2.289509199,      0.1463940009,       1.055974277,       1.095301878
          28,      -9.641123518,      -7.719434231,      -8.307302811,      -9.617801222,       2.747411039,       2.747411039,      0.1463939521,       1.055974547,       1.095302097
          29,      -9.641515353,      -7.719466484,      -8.307419136,      -9.617790469,       3.296893247,       3.296893247,      0.1463938904,       1.055974887,       1.095302374
          30,      -9.641702543,      -7.719497964,      -8.307582561,      -9.617778282,       3.956271897,       3.956271897,      0.1463938136,        1.05597531,       1.095302717
          31,      -9.641830681,      -7.719526711,      -8.307782623,      -9.617764587,       4.747526276,       4.747526276,      0.1463937196,       1.055975827,       1.095303137
          32,      -9.641958846,      -7.719552243,      -8.307993931,       -9.61774916,       5.697031531,       5.697031531,       0.146393606,       1.055976452,       1.095303644
          33,      -9.642059652,      -7.719576829,      -8.308183824,      -9.617731548,       6.836437837,       6.836437837,      0.1463934696,       1.055977203,       1.095304254
          34,       -9.64210502,      -7.719604916,      -8.308325413,      -9.617711112,       8.203725405,       8.203725405,       0.146393306,       1.055978105,       1.095304986
          35,      -9.642112054,      -7.719640257,      -8.308410499,      -9.617687199,       9.844470486,       9.844470486,        0.14639311,       1.055979187,       1.095305866
          36,      -9.642101852,      -7.719683031,      -8.308451167,       -9.61765931,       11.81336458,       11.81336458,      0.1463928751,       1.055980488,       1.095306922
          37,      -9.642058926,       -7.71972974,      -8.308466235,      -9.617627168,        14.1760375,        14.1760375,       0.146392594,        1.05598205,       1.095308192
          38,      -9.641932372,      -7.719775586,      -8.308463223,      -9.617590689,         17.011245,         17.011245,      0.1463922583,       1.055983929,       1.095309721
          39,      -9.641638452,      -7.719815844,      -8.308434603,      -9.617550159,         1.7011245,         1.7011245,      0.1463918582,       1.055986191,       1.095311564
          40,      -9.641049205,      -7.719851285,      -8.308269689,      -9.617715042,         2.0413494,         2.0413494,      0.1463918239,       1.055986386,       1.095311723
          41,      -9.641559151,      -7.719876516,      -8.308320503,      -9.617706814,        2.44961928,        2.44961928,       0.146391781,        1.05598663,       1.095311921
          42,      -9.641865695,      -7.719904619,      -8.308384188,      -9.617697247,       2.939543136,       2.939543136,      0.1463917271,       1.055986936,       1.095312171
          43,      -9.642035733,      -7.719934704,      -8.308462739,      -9.617686246,       3.527451763,       3.527451763,      0.1463916603,       1.055987315,        1.09531248
          44,      -9.642150433,      -7.719965388,      -8.308552924,      -9.617673706,       4.232942116,       4.232942116,      0.1463915784,        1.05598778,       1.095312859
          45,      -9.642257724,      -7.719995428,      -8.308646888,      -9.617659443,       5.079530539,       5.079530539,      0.1463914795,       1.055988344,       1.095313319
          46,      -9.642353693,      -7.720024731,      -8.308735129,      -9.617643132,       6.095436647,       6.095436647,      0.1463913606,       1.055989022,       1.095313872
          47,       -9.64241762,      -7.720054902,       -8.30881021,      -9.617624288,       7.314523976,       7.314523976,      0.1463912184,       1.055989836,       1.095314538
          48,       -9.64244985,        -7.7200884,      -8.308869822,      -9.617602339,       8.777428771,       8.777428771,      0.1463910482,       1.055990814,       1.095315337
          49,      -9.642463279,      -7.720126647,      -8.308916778,      -9.617576757,       10.53291453,       10.53291453,      0.1463908446,       1.055991989,       1.095316298
