"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      ,   "Cauchy[CD]"   
           0,      -5.972123849,      -4.771578426,       -4.84122883,      -9.014725234,               2.4,               2.4,       0.247598467,       1.147192921,        1.25424379,                 1
           1,      -5.953008367,      -4.789107534,      -4.875830123,      -8.745667898,              2.88,              2.88,      0.2476424448,       1.147916543,        1.25506105,   7.103428002e-07
           2,      -5.777988046,      -4.799990594,      -4.929004413,       -8.63113199,             3.456,             3.456,      0.2476048871,       1.148340834,       1.255561425,   1.317077627e-06
           3,      -5.720280504,      -4.801974006,      -5.011881464,      -8.602757284,            4.1472,            4.1472,      0.2474061873,        1.14825043,       1.255526377,   4.529606191e-06
           4,       -5.75040203,      -4.797149724,      -5.118114982,       -8.63119208,           4.97664,           4.97664,      0.2469492217,       1.147616497,       1.254943154,   1.193138062e-05
           5,      -5.832660299,      -4.791591642,      -5.215848388,      -8.684485539,          5.971968,          5.971968,      0.2460492556,       1.146435113,       1.253790208,   2.656204617e-05
           6,      -5.907534497,      -4.789312681,      -5.229550045,      -8.717759223,         7.1663616,         7.1663616,      0.2443959166,       1.144472382,        1.25176594,    5.36220552e-05
           7,      -5.939494014,      -4.788995895,       -5.15796998,       -8.70211827,        8.59963392,        8.59963392,       0.241547947,       1.141147812,       1.248159271,   0.0001007840312
           8,      -5.947299839,      -4.786124616,      -5.093990688,       -8.64369385,        10.3195607,        10.3195607,      0.2369626571,       1.135646674,       1.241884507,   0.0001781850857
           9,      -5.950791282,      -4.777641931,      -5.065404905,      -8.568091457,       12.38347284,       12.38347284,      0.2302006903,       1.127376879,       1.231891392,   0.0002956819846
          10,      -5.952674008,      -4.763983046,      -5.050254634,      -8.488878714,       14.86016741,       14.86016741,      0.2212985838,       1.116822757,       1.218220114,   0.0004565886899
          11,      -5.938019842,      -4.746360049,       -5.02340887,      -8.410024917,        17.8322009,        17.8322009,        0.21106331,       1.106021907,       1.202973277,   0.0006505641142
          12,      -5.899638207,      -4.724846702,      -4.982701358,      -8.331886402,       21.39864108,       21.39864108,      0.2009054472,       1.097531307,       1.189577743,   0.0008528057743
          13,      -5.849379327,      -4.699423517,      -4.936348614,      -8.254631115,       2.139864108,       2.139864108,      0.1923635179,       1.092531177,       1.180370343,    0.001030426344
          14,      -5.797910151,      -4.671151654,      -4.888446754,      -8.211432312,       2.567836929,       2.567836929,      0.1881960351,       1.090803171,       1.176425161,    0.001119003827
          15,      -5.630831668,      -4.565055898,      -4.768036285,      -8.165041336,       3.081404315,       3.081404315,      0.1855724028,       1.089735695,       1.173331138,    0.001175556035
          16,       -5.60036503,       -4.49779068,       -4.71846654,      -8.121026098,       3.697685178,       3.697685178,      0.1847121515,       1.089192626,        1.17058303,    0.001194185048
