"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      ,   "Cauchy[CD]"   
           0,      -8.828666392,      -7.163305482,      -7.405003045,      -9.033041673,               2.4,               2.4,      0.1651094106,      0.9807643047,       1.038955475,                 1
           1,      -8.832952014,       -7.16342819,      -7.405579135,      -9.033047481,              2.88,              2.88,      0.1651094068,      0.9807654366,       1.038956638,    9.36020917e-11
           2,      -8.832691586,      -7.163471459,      -7.406326375,      -9.033055581,             3.456,             3.456,      0.1651094012,      0.9807667904,       1.038958029,   2.285690362e-10
           3,      -8.833519908,      -7.163484199,      -7.407133773,      -9.033067524,            4.1472,            4.1472,       0.165109393,      0.9807684093,       1.038959692,   4.265213048e-10
           4,      -8.836337674,      -7.163508207,      -7.407858407,      -9.033085013,           4.97664,           4.97664,      0.1651093816,      0.9807703458,       1.038961681,   7.043642031e-10
           5,      -8.839212346,      -7.163587672,      -7.408363404,      -9.033109387,          5.971968,          5.971968,      0.1651093663,      0.9807726634,       1.038964061,   1.072937104e-09
           6,      -8.840626146,      -7.163755598,      -7.408533982,      -9.033141164,         7.1663616,         7.1663616,      0.1651093469,      0.9807754388,       1.038966911,   1.543112646e-09
           7,      -8.840845228,      -7.164016533,       -7.40834551,      -9.033180126,        8.59963392,        8.59963392,      0.1651093225,      0.9807787644,       1.038970327,   2.134493491e-09
           8,       -8.84076121,      -7.164343786,      -7.407920062,      -9.033226154,        10.3195607,        10.3195607,      0.1651092917,      0.9807827504,       1.038974422,   2.880163742e-09
           9,      -8.840657002,      -7.164697313,      -7.407467901,      -9.033280332,       12.38347284,       12.38347284,      0.1651092527,      0.9807875282,       1.038979329,   3.825879318e-09
          10,      -8.840482093,       -7.16504858,      -7.407138907,      -9.033345459,       14.86016741,       14.86016741,      0.1651092032,      0.9807932547,        1.03898521,    5.02438769e-09
