"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      
           0,      -7.122366687,      -5.635653397,      -5.829991339,      -7.725121582,               2.4,               2.4,      0.1461659719,      0.7185508704,      0.7529136256
           1,      -7.123166976,      -5.635793885,       -5.83025048,      -7.725243259,              2.88,              2.88,      0.1461697786,      0.7185861848,      0.7529527116
           2,      -7.122762239,      -5.635901956,      -5.830580049,      -7.725391126,             3.456,             3.456,      0.1461743428,       0.718628514,      0.7529995304
           3,      -7.122676544,      -5.635998205,      -5.830970826,      -7.725571663,            4.1472,            4.1472,      0.1461798012,      0.7186792288,      0.7530555801
           4,      -7.123400285,       -5.63609875,       -5.83137382,        -7.7257921,           4.97664,           4.97664,      0.1461863168,      0.7187399722,      0.7531226628
           5,      -7.124560515,      -5.636222768,      -5.831729017,      -7.726060064,          5.971968,          5.971968,       0.146194085,      0.7188127167,      0.7532029483
           6,      -7.125633234,      -5.636387516,      -5.831981356,      -7.726383381,         7.1663616,         7.1663616,      0.1462033346,      0.7188998236,      0.7532990305
           7,      -7.126498225,      -5.636600082,      -5.832111067,      -7.726771024,        8.59963392,        8.59963392,      0.1462143284,      0.7190041042,      0.7534139833
           8,      -7.127306265,      -5.636853481,      -5.832162581,      -7.727234777,        10.3195607,        10.3195607,      0.1462273657,      0.7191288988,      0.7535514368
           9,      -7.128145968,       -5.63713214,      -5.832225878,      -7.727790825,       12.38347284,       12.38347284,      0.1462427912,      0.7192781901,      0.7537156971
          10,      -7.129018348,      -5.637422966,      -5.832373378,      -7.728460017,       14.86016741,       14.86016741,      0.1462610024,      0.7194567269,      0.7539118761
          11,      -7.129874993,      -5.637719964,      -5.832622099,      -7.729267711,        17.8322009,        17.8322009,      0.1462824504,      0.7196701259,      0.7541459885
          12,      -7.130613563,      -5.638023708,      -5.832956388,      -7.730244078,       21.39864108,       21.39864108,      0.1463076442,      0.7199249805,      0.7544250428
          13,      -7.131146229,      -5.638331218,      -5.833372072,      -7.731424977,       21.39864108,       21.39864108,      0.1463371625,      0.7202289728,      0.7547571164
          14,      -7.131397249,      -5.638638133,      -5.833888002,      -7.732968636,       21.39864108,       21.39864108,      0.1463661601,      0.7205328761,      0.7550883035
          15,      -7.131921916,      -5.638936187,       -5.83455859,      -7.734513668,       21.39864108,       21.39864108,      0.1463947093,      0.7208368995,       0.755418854
          16,      -7.132719887,       -5.63923857,      -5.835316118,      -7.736057966,       2.139864108,       2.139864108,      0.1464229099,      0.7211413748,       0.755749225
          17,      -7.133625712,      -5.639554071,      -5.836082363,      -7.738154863,       2.567836929,       2.567836929,      0.1464276302,      0.7211893438,      0.7558017401
          18,      -7.132863248,      -5.639627663,      -5.836300435,      -7.738248546,       3.081404315,       3.081404315,       0.146433621,       0.721247586,      0.7558658605
          19,       -7.13180926,      -5.639693218,      -5.836648537,       -7.73836274,       3.697685178,       3.697685178,      0.1464412521,      0.7213183746,      0.7559442987
          20,      -7.131465608,      -5.639760049,      -5.837098251,      -7.738558495,       4.437222213,       4.437222213,       0.146446292,      0.7213717396,      0.7560023849
          21,      -7.133545737,      -5.639903833,      -5.837658111,      -7.738797677,       5.324666656,       5.324666656,      0.1464522971,      0.7214355523,      0.7560717894
          22,      -7.134897187,       -5.64003722,      -5.838104043,      -7.739088907,       6.389599987,       6.389599987,      0.1464594305,      0.7215118075,      0.7561546569
          23,       -7.13617385,      -5.640201631,      -5.838408259,      -7.739441179,       7.667519985,       7.667519985,      0.1464678947,      0.7216028945,      0.7562535605
          24,      -7.137145217,      -5.640408589,      -5.838573373,       -7.73986498,       9.201023982,       9.201023982,       0.146477925,      0.7217116622,      0.7563715628
          25,      -7.138070542,       -5.64065128,      -5.838659904,      -7.740371942,       11.04122878,       11.04122878,      0.1464897864,      0.7218415088,      0.7565123096
          26,      -7.139072451,      -5.640914297,      -5.838766897,       -7.74097981,       13.24947453,       13.24947453,      0.1465037808,       0.721996499,       0.756680161
          27,       -7.14007861,      -5.641185739,      -5.838964069,       -7.74171231,       15.89936944,       15.89936944,      0.1465202797,      0.7221815257,      0.7568803841
          28,      -7.141023048,      -5.641461589,      -5.839259574,      -7.742598208,       19.07924333,       19.07924333,      0.1465397988,      0.7224025772,      0.7571194874
          29,      -7.141808317,      -5.641740691,      -5.839638878,      -7.743669256,       22.89509199,       22.89509199,      0.1465631131,      0.7226671506,      0.7574057297
          30,      -7.142347811,       -5.64201912,      -5.840105693,      -7.744963283,       2.289509199,       2.289509199,      0.1465913618,      0.7229846362,      0.7577495551
          31,      -7.142531548,        -5.6422898,      -5.840685309,      -7.747269745,       2.747411039,       2.747411039,      0.1465964263,      0.7230355038,      0.7578054304
          32,      -7.141861853,      -5.642355807,      -5.840895667,      -7.747371646,       3.296893247,       3.296893247,      0.1466028546,      0.7230972431,      0.7578736389
          33,      -7.140763635,      -5.642410512,      -5.841262184,      -7.747505296,       3.956271897,       3.956271897,      0.1466100066,      0.7231663992,      0.7579499472
          34,      -7.140792876,      -5.642471501,      -5.841753433,      -7.747678714,       4.747526276,       4.747526276,      0.1466180309,      0.7232444723,      0.7580360018
          35,      -7.141960523,      -5.642552435,      -5.842290013,      -7.747900866,       5.697031531,       5.697031531,      0.1466271092,      0.7233332604,      0.7581337877
