"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      
           0,      -4.142190653,      -16.59154172,      -17.04488068,      -8.958753417,               2.4,               2.4,       1.144934047,       2.097165974,       2.979396431
           1,      -4.369622067,       -4.24510036,      -3.878868713,      -9.081695816,              2.88,              2.88,        1.49430427,       2.912909268,       4.158647359
           2,      -4.552463251,      -4.447037596,      -4.046114309,      -9.297650518,             3.456,             3.456,       1.535019114,       3.034742163,       4.354189247
           3,       -4.61930695,      -4.591423717,      -4.254531878,       -9.48505629,            4.1472,            4.1472,       1.415205591,       2.781396088,       3.989161733
           4,      -4.642391317,      -4.629504618,      -4.372721049,      -9.712664059,           4.97664,           4.97664,       1.271680293,        2.47142359,       3.522144289
           5,      -4.727618628,      -4.711582074,      -4.436760972,      -9.800863729,          5.971968,          5.971968,       1.195651407,       2.320537022,       3.284437976
           6,      -4.798593236,       -4.77694001,      -4.491480741,       -9.88189015,         7.1663616,         7.1663616,       1.176699818,       2.299229288,       3.242730229
           7,      -4.855389652,      -4.829001889,      -4.540973067,      -9.969159277,        8.59963392,        8.59963392,       1.185850247,       2.341034232,       3.298529804
           8,      -4.903173147,      -4.873060151,      -4.581165345,      -10.04344002,        10.3195607,        10.3195607,       1.199689019,       2.394035377,       3.371009117
           9,      -4.947635904,      -4.915669368,      -4.615556969,      -10.10538356,       12.38347284,       12.38347284,       1.213575192,       2.448828584,       3.443901924
          10,      -4.987996396,      -4.953038176,      -4.644634214,       -10.1674559,       14.86016741,       14.86016741,       1.227225166,       2.506761836,       3.519817567
          11,      -5.019034061,      -4.980158813,      -4.663449933,      -10.21313112,        17.8322009,        17.8322009,        1.23808516,       2.564137845,       3.593304908
          12,      -5.037731517,      -4.990257716,      -4.670533167,      -10.24853518,       21.39864108,       21.39864108,       1.243064871,       2.617556935,       3.659249341
          13,      -5.040105094,      -4.975434492,       -4.66238759,      -10.26601398,       25.67836929,       25.67836929,       1.237747099,        2.66089274,        3.70773149
          14,      -5.028192779,      -4.931971924,      -4.641088915,      -10.27595958,       30.81404315,       30.81404315,       1.216851188,       2.687210504,       3.727817688
          15,      -5.007871368,      -4.861649522,      -4.612738985,      -10.27949444,       36.97685178,       36.97685178,       1.174098669,       2.686208897,       3.703393368
          16,      -4.983693591,      -4.775767969,       -4.57636362,      -10.28453402,       44.37222213,       44.37222213,       1.103464166,       2.644924735,       3.614616763
          17,      -4.971974956,        -4.6844945,      -4.537642666,      -10.28885915,       4.437222213,       4.437222213,       1.000366903,       2.546531279,       3.436576452
          18,      -4.970050684,      -4.594285686,      -4.497496999,      -10.31332039,       5.324666656,       5.324666656,      0.9903498469,       2.536943229,       3.418806622
          19,      -5.013570635,      -4.651824243,      -4.535471486,      -10.30742779,       6.389599987,       6.389599987,      0.9776538104,       2.524239014,        3.39586168
          20,      -5.024004185,      -4.654152966,       -4.53966015,      -10.30378777,       7.667519985,       7.667519985,      0.9618314541,       2.507889915,       3.366750914
          21,      -5.025911672,      -4.642604201,      -4.534267622,      -10.29934555,       9.201023982,       9.201023982,      0.9423533997,       2.486900324,       3.329871732
          22,      -5.024251932,      -4.624801312,      -4.525608888,       -10.2918653,       11.04122878,       11.04122878,      0.9185370524,        2.45982336,       3.282988796
          23,      -5.020858086,      -4.603471503,      -4.515755782,      -10.28068654,       13.24947453,       13.24947453,      0.8896073991,       2.424875663,       3.223342237
          24,      -5.016676299,      -4.580520625,      -4.505929596,      -10.26462557,       15.89936944,       15.89936944,      0.8546368593,       2.379620101,       3.147334651
          25,       -5.01187223,      -4.557558255,      -4.497364759,      -10.24193061,       19.07924333,       19.07924333,      0.8126955182,        2.32105251,       3.050603564
          26,      -5.006769365,      -4.536443008,      -4.491755665,      -10.21170775,       22.89509199,       22.89509199,      0.7630227574,       2.245735031,       2.928257444
          27,      -5.002966806,      -4.519403686,       -4.49166151,      -10.17767283,       27.47411039,       27.47411039,      0.7051677775,       2.149713443,       2.774611927
          28,      -5.002743913,      -4.508550697,      -4.500551344,      -10.15261154,       32.96893247,       32.96893247,      0.6391609517,       2.029019071,       2.583552756
          29,      -5.007350435,      -4.503819676,      -4.520657546,      -10.15712376,       3.296893247,       3.296893247,      0.5655761145,        1.88093849,       2.349673313
          30,      -5.016630521,       -4.49856233,      -4.546872258,      -10.21693412,       3.956271897,       3.956271897,      0.5217363797,       1.783029071,       2.193639342
          31,      -4.996311263,      -4.466658085,      -4.531599174,      -10.22694226,       4.747526276,       4.747526276,      0.4730706781,       1.670815636,       2.011791228
          32,       -4.98982132,      -4.434467756,      -4.512415217,      -10.23045127,       5.697031531,       5.697031531,      0.4633644753,       1.649855199,       1.977870127
          33,      -5.071082026,      -4.520192205,       -4.58030868,      -10.23217145,       6.836437837,       6.836437837,       0.451964273,       1.624907921,       1.937410777
          34,      -5.095245416,      -4.535216233,      -4.600025077,      -10.23901274,       8.203725405,       8.203725405,      0.4384839794,        1.59500976,       1.888907281
          35,      -5.105826207,      -4.535840535,      -4.606172497,      -10.24837219,       9.844470486,       9.844470486,      0.4226041186,       1.559260306,       1.830835814
          36,      -5.110938429,      -4.529794779,      -4.607874397,       -10.2577544,       11.81336458,       11.81336458,      0.4039910107,       1.516708322,       1.761504015
          37,      -5.113587913,      -4.520676527,      -4.607430861,      -10.26650075,        14.1760375,        14.1760375,      0.3822767966,       1.466334549,       1.678994992
          38,      -5.115904247,      -4.509997643,      -4.605232687,      -10.27309115,        1.41760375,        1.41760375,      0.3570945548,       1.407169688,        1.58128127
          39,      -5.117708894,       -4.49836884,      -4.601038518,      -10.27872988,         1.7011245,         1.7011245,       0.341259061,       1.368774122,       1.517267129
          40,       -5.10273266,      -4.478315378,      -4.582423736,      -10.26999047,         2.0413494,         2.0413494,      0.3229454444,       1.324234176,       1.442217496
          41,      -5.088946909,      -4.457768677,      -4.561641626,      -10.25370879,        2.44961928,        2.44961928,      0.3020663678,       1.273325628,       1.355331817
          42,      -5.077588142,      -4.438892825,      -4.540878639,      -10.22906759,       2.939543136,       2.939543136,       0.278690199,       1.216241202,       1.256469323
          43,      -5.069779787,      -4.423030772,      -4.521495186,      -10.19638224,       3.527451763,       3.527451763,      0.2530431045,       1.153705813,       1.146479806
          44,      -5.065937716,      -4.412103621,      -4.504524455,        -10.157445,       4.232942116,       4.232942116,       0.225420626,       1.086949984,       1.027411817
          45,      -5.065289856,      -4.407379958,      -4.491029983,      -10.12514067,       5.079530539,       5.079530539,      0.1995545751,       1.025477924,      0.9170482862
          46,      -5.077578917,      -4.418025238,      -4.495588933,      -10.14167235,       6.095436647,       6.095436647,      0.1938693605,       1.012615789,       0.893927741
          47,      -5.137611655,      -4.491014931,       -4.57753568,      -10.14903252,       7.314523976,       7.314523976,      0.1872580909,      0.9975373727,      0.8667834033
          48,       -5.15545704,      -4.511603736,      -4.602038427,      -10.15357319,       8.777428771,       8.777428771,      0.1795713515,       0.979922928,       0.835004021
          49,      -5.164314471,      -4.518103909,      -4.610925725,      -10.15527931,       10.53291453,       10.53291453,      0.1706627699,      0.9594814829,      0.7980621505
          50,      -5.167849124,      -4.519417581,      -4.615283578,      -10.15341563,       12.63949743,       12.63949743,      0.1603731447,      0.9358874065,      0.7554050463
          51,      -5.169678458,       -4.51935024,      -4.617656491,       -10.1481387,       15.16739692,       15.16739692,      0.1485446262,      0.9088817821,      0.7066218336
          52,      -5.171536116,      -4.519402432,      -4.618747985,      -10.13934399,       1.516739692,       1.516739692,       0.135003419,      0.8782400836,      0.6514262024
