"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      
           0,      -4.142190653,      -16.59154172,      -17.04488068,      -8.959938087,               2.4,               2.4,      0.8323781233,       1.401716462,       2.014180908
           1,      -4.284696485,      -4.249030328,      -4.008478807,      -9.083183491,              2.88,              2.88,       1.038911791,       1.890271211,       2.727304736
           2,       -4.41989854,      -4.387978081,      -4.162077613,      -9.306716387,             3.456,             3.456,       1.169211484,       2.212836442,       3.193018033
           3,      -4.513261162,      -4.492791909,      -4.225256777,      -9.498198045,            4.1472,            4.1472,       1.227009036,       2.365677879,       3.406254708
           4,       -4.57188532,      -4.563358345,      -4.281215173,      -9.678727263,           4.97664,           4.97664,       1.226062033,       2.377440828,       3.406508313
           5,      -4.612138855,      -4.601633376,      -4.329231112,      -9.768963174,          5.971968,          5.971968,       1.198763447,       2.330808315,       3.318364768
           6,      -4.663194271,      -4.652121752,      -4.370697601,      -9.839911523,         7.1663616,         7.1663616,       1.175847736,       2.295019681,       3.250220267
           7,      -4.710216714,      -4.701265883,      -4.412016437,      -9.903953531,        8.59963392,        8.59963392,       1.167141597,       2.294500796,       3.239453109
           8,      -4.755008094,      -4.746992209,      -4.451712424,      -9.973365784,        10.3195607,        10.3195607,       1.168248279,       2.317104747,       3.265997757
           9,      -4.798816288,      -4.790337422,      -4.489608024,      -10.02925069,       12.38347284,       12.38347284,       1.176093249,       2.354375265,       3.315589205
          10,      -4.841592648,      -4.832344771,      -4.525650529,      -10.08112177,       14.86016741,       14.86016741,       1.185976757,       2.395591772,       3.371020517
          11,      -4.883281282,      -4.873326759,      -4.559491353,      -10.13385325,        17.8322009,        17.8322009,       1.196664765,       2.438658266,       3.427759531
          12,      -4.923290564,      -4.912428002,      -4.590822661,      -10.17993267,       21.39864108,       21.39864108,        1.20840043,       2.485037638,       3.488296926
          13,       -4.96058979,      -4.947969915,      -4.619089588,      -10.22017468,       25.67836929,       25.67836929,        1.22041362,       2.534004442,       3.551936987
          14,      -4.993304445,      -4.977430802,       -4.64281531,      -10.25490687,       30.81404315,       30.81404315,       1.230686343,       2.582506677,       3.614288399
          15,      -5.018670183,      -4.996966337,      -4.659496736,      -10.28045189,       36.97685178,       36.97685178,       1.236812321,       2.627324357,       3.670354579
          16,      -5.033683884,      -5.001344567,      -4.666056958,      -10.29452082,       3.697685178,       3.697685178,       1.235868139,       2.664922463,       3.714528294
          17,      -5.036410172,      -4.985124902,      -4.660834451,      -10.30497999,       4.437222213,       4.437222213,       1.235792855,       2.669185038,       3.719166364
          18,      -5.034257384,      -4.980854339,      -4.658044464,      -10.30145764,       5.324666656,       5.324666656,       1.235874725,       2.673579441,       3.724268068
          19,      -5.028966979,      -4.973937327,      -4.652976139,       -10.2973205,       6.389599987,       6.389599987,       1.235660581,       2.678567479,       3.729972518
          20,      -5.022717639,      -4.965059219,      -4.646899971,      -10.29254895,       7.667519985,       7.667519985,       1.234975936,       2.683978716,       3.736008002
          21,      -5.015552579,      -4.953786488,      -4.639736715,      -10.28713775,       9.201023982,       9.201023982,       1.233639147,       2.689681207,        3.74213269
          22,      -5.007472359,      -4.939636712,      -4.631285281,      -10.28102269,       11.04122878,       11.04122878,       1.231526041,       2.695744057,        3.74829859
          23,      -4.998429607,       -4.92229447,      -4.621423888,      -10.27411244,       13.24947453,       13.24947453,       1.228305426,       2.701903765,       3.754050944
          24,      -4.988350163,      -4.901597597,      -4.610122877,       -10.2664023,       15.89936944,       15.89936944,       1.223566683,        2.70798815,         3.7589535
          25,      -4.977166781,      -4.877411148,      -4.597506963,      -10.25759919,       19.07924333,       19.07924333,       1.216632194,       2.713500823,       3.762061667
          26,      -4.964908899,      -4.849551023,      -4.583859809,      -10.24788264,       22.89509199,       22.89509199,       1.206567437,       2.717653225,       3.761936553
