"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      
           0,      -5.972147364,      -4.771474638,      -4.842500012,        -7.1392176,               2.4,               2.4,      0.2477845115,       1.147678631,       1.255366582
           1,      -6.038937194,      -4.790558623,      -4.861755077,      -7.187890458,              2.88,              2.88,      0.2480653215,       1.149067721,       1.257567677
           2,      -6.004550959,      -4.809461326,      -4.883094359,      -7.236812086,             3.456,             3.456,       0.248342616,       1.150418444,       1.259679931
           3,      -5.926520865,      -4.825415357,      -4.908601919,      -7.283829616,            4.1472,            4.1472,      0.2485440045,       1.151488012,       1.261318267
           4,      -5.855330629,      -4.836202319,      -4.941658948,      -7.327224617,           4.97664,           4.97664,      0.2486368749,       1.152175544,       1.262342837
           5,      -5.806939198,      -4.840643081,      -4.986249516,       -7.36638641,          5.971968,          5.971968,      0.2486247217,       1.152474655,       1.262788241
           6,       -5.78605554,      -4.839261755,      -5.045293392,      -7.401961698,         7.1663616,         7.1663616,      0.2485215729,       1.152446715,        1.26280475
           7,      -5.794159313,      -4.834308742,      -5.118906084,      -7.435331453,        8.59963392,        8.59963392,      0.2483298602,       1.152158132,       1.262540026
           8,      -5.828025685,      -4.828909833,      -5.202209606,      -7.467866284,        10.3195607,        10.3195607,      0.2479979968,       1.151639339,       1.262054323
           9,      -5.877050546,      -4.826011077,      -5.277988251,      -7.500504355,       12.38347284,       12.38347284,      0.2474216126,       1.150846885,       1.261290059
          10,      -5.927653437,      -4.827353774,      -5.309611614,      -7.533762811,       14.86016741,       14.86016741,      0.2464395484,         1.1496356,       1.260065002
          11,      -5.974551682,      -4.832659518,       -5.28299091,      -7.567942298,        17.8322009,        17.8322009,      0.2448314931,        1.14774929,       1.258083714
          12,      -6.021279694,      -4.839561139,       -5.23972486,       -7.60330346,       21.39864108,       21.39864108,      0.2422944192,       1.144767415,       1.254826553
          13,      -6.070559044,      -4.844965858,      -5.215764855,       -7.64006427,       25.67836929,       25.67836929,      0.2384652106,       1.140170422,       1.249583718
          14,      -6.122523211,      -4.847328122,      -5.215985389,      -7.678336162,       30.81404315,       30.81404315,      0.2330165798,       1.133571951,       1.241678049
          15,      -6.174424481,      -4.847366465,      -5.226825869,      -7.718003444,       36.97685178,       36.97685178,      0.2258483043,       1.125090092,       1.230900854
          16,      -6.219242115,      -4.846437884,      -5.231269643,      -7.758543982,       44.37222213,       44.37222213,      0.2172919292,       1.115732309,       1.218177353
          17,      -6.252460966,      -4.844935289,      -5.223499122,      -7.798770536,       53.24666656,       53.24666656,      0.2081911994,       1.107217432,       1.205627627
          18,      -6.277226497,      -4.842534082,      -5.207390353,      -7.836435936,       63.89599987,       63.89599987,      0.1997194359,       1.101064378,       1.195570156
          19,      -6.296532946,      -4.839147917,      -5.185783635,      -7.867805287,       6.389599987,       6.389599987,      0.1930181919,       1.097631425,        1.18902208
          20,       -6.30343552,      -4.834945541,      -5.159421481,      -7.907141394,       7.667519985,       7.667519985,      0.1923664947,        1.09732186,       1.188406115
          21,      -6.288907549,      -4.834218131,      -5.189768568,      -7.906674495,       9.201023982,       9.201023982,       0.191641628,       1.097011075,       1.187759383
          22,      -6.288690167,      -4.831184146,      -5.237418142,      -7.906258334,       11.04122878,       11.04122878,      0.1908426693,        1.09670174,       1.187079242
          23,      -6.334620741,      -4.828195378,      -5.280377296,      -7.905749474,       13.24947453,       13.24947453,      0.1899816213,       1.096414256,       1.186394911
          24,      -6.371091474,       -4.82722448,      -5.293092431,      -7.904825435,       15.89936944,       15.89936944,      0.1890801242,       1.096155338,       1.185713925
          25,      -6.368975649,       -4.82842007,      -5.273134636,      -7.903094473,       19.07924333,       19.07924333,      0.1881794495,       1.095946768,       1.185074096
          26,       -6.35855208,      -4.830384683,      -5.245089731,      -7.900223146,       22.89509199,       22.89509199,      0.1873387729,       1.095790044,       1.184480424
          27,      -6.352999161,      -4.831829826,      -5.226547297,      -7.895871585,       27.47411039,       27.47411039,      0.1866432898,       1.095685554,       1.183934178
          28,       -6.34859471,      -4.832563772,      -5.216034678,      -7.889550061,       32.96893247,       32.96893247,      0.1862016474,         1.0956283,       1.183407919
          29,      -6.340046777,      -4.833178709,      -5.205077635,       -7.88080072,       39.56271897,       39.56271897,      0.1861404681,       1.095642114,       1.182881212
          30,      -6.326264096,      -4.833979432,      -5.189812734,      -7.868935733,       47.47526276,       47.47526276,      0.1865850498,       1.095803872,       1.182354212
          31,      -6.309176878,      -4.834998247,      -5.171283721,      -7.853503241,       56.97031531,       56.97031531,      0.1876403954,       1.096318675,       1.181960878
          32,      -6.293640524,      -4.836218484,      -5.151134566,      -7.834041776,       68.36437837,       68.36437837,      0.1893649105,       1.097570391,       1.182050226
          33,      -6.278031351,      -4.837870985,      -5.129817074,      -7.810368334,       68.36437837,       68.36437837,      0.1917379423,       1.100168336,       1.183314043
          34,      -6.249426165,       -4.84028865,      -5.108641764,      -7.785561648,       68.36437837,       68.36437837,       0.194182207,        1.10392304,       1.186004022
          35,      -6.237498199,      -4.843904406,      -5.104390872,      -7.760188801,       82.03725405,       82.03725405,      0.1965482738,       1.108763029,       1.190250384
          36,      -6.243621641,      -4.849317946,       -5.10514907,      -7.733027709,       8.203725405,       8.203725405,      0.1991136683,       1.115758362,       1.197465093
          37,      -6.229703893,      -4.856994269,      -5.091976949,      -7.721687674,       9.844470486,       9.844470486,      0.1993810795,       1.116511886,       1.198272493
          38,       -6.23378379,      -4.856869123,      -5.176164886,       -7.71672365,       11.81336458,       11.81336458,      0.1996916421,       1.117422602,       1.199257639
          39,      -6.328753536,       -4.85564274,      -5.273377819,      -7.711325924,        14.1760375,        14.1760375,      0.2000500774,        1.11851525,       1.200449935
          40,       -6.45864336,      -4.860006368,      -5.307444182,      -7.705115282,         17.011245,         17.011245,      0.2004625188,       1.119825637,       1.201897959
          41,      -6.448417168,      -4.869538717,      -5.274982025,      -7.697819952,         20.413494,         20.413494,      0.2009394929,       1.121428402,       1.203718553
          42,      -6.422233064,      -4.880409632,       -5.24074497,      -7.689363794,        24.4961928,        24.4961928,      0.2014880751,       1.123384973,       1.206006886
          43,      -6.414204862,      -4.890800292,      -5.229237681,       -7.67980365,       29.39543136,       29.39543136,      0.2021216775,       1.125795324,       1.208930665
          44,      -6.412207179,      -4.901548113,      -5.228327925,      -7.669155835,       35.27451763,       35.27451763,      0.2028524403,       1.128764473,       1.212679014
          45,      -6.405912521,      -4.913865302,       -5.22522224,      -7.657453524,       42.32942116,       42.32942116,      0.2036909548,       1.132420465,       1.217507781
          46,       -6.39497404,        -4.9279723,       -5.21918733,      -7.644719504,       50.79530539,       50.79530539,      0.2046284823,       1.136833192,       1.223614456
          47,      -6.386169038,      -4.943934518,      -5.214233418,       -7.63099566,       60.95436647,       60.95436647,      0.2056427386,       1.142062937,       1.231235314
          48,      -6.376372166,      -4.962005447,      -5.212180498,      -7.616399746,       73.14523976,       73.14523976,      0.2066797883,       1.148043875,       1.240423107
