"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      
           0,      -5.984867693,      -4.777853912,      -4.847301114,      -9.486602059,               2.4,               2.4,      0.2387520546,       1.177667596,       1.277817407
           1,      -6.062899968,      -4.798095032,      -4.866610225,      -9.160227405,              2.88,              2.88,      0.2386748034,       1.178117026,       1.278199036
           2,      -6.029585103,       -4.81700725,      -4.888174422,      -8.964773977,             3.456,             3.456,      0.2385792096,       1.178525445,       1.278534675
           3,      -5.947956021,      -4.833010724,      -4.913833366,      -8.830969696,            4.1472,            4.1472,       0.238467137,        1.17884003,       1.278775175
           4,      -5.875088693,      -4.844104366,      -4.946666539,      -8.739686127,           4.97664,           4.97664,       0.238343141,        1.17900911,       1.278881382
           5,      -5.826343378,       -4.84888922,      -4.990643766,      -8.683853128,          5.971968,          5.971968,      0.2382110344,       1.178990589,       1.278831654
           6,      -5.805754249,      -4.847630978,      -5.048848762,      -8.660867397,         7.1663616,         7.1663616,      0.2380626197,       1.178763898,       1.278622244
           7,      -5.814790311,      -4.842507095,      -5.121534812,      -8.668100006,        8.59963392,        8.59963392,      0.2378640825,       1.178328749,       1.278251734
           8,      -5.850216101,      -4.836780079,      -5.204252369,      -8.699014998,        10.3195607,        10.3195607,      0.2375517319,       1.177678674,       1.277692142
           9,      -5.901158117,      -4.833540224,      -5.281342466,      -8.743610272,       12.38347284,       12.38347284,      0.2370282302,       1.176757941,       1.276855392
          10,      -5.953601781,       -4.83461112,      -5.316956539,      -8.782424209,       14.86016741,       14.86016741,      0.2361560694,       1.175422265,       1.275561104
          11,      -6.002016939,      -4.839756697,      -5.292558145,      -8.792430325,        17.8322009,        17.8322009,      0.2347346857,       1.173408598,       1.273492963
          12,      -6.049618857,      -4.846563797,      -5.247940664,      -8.764301135,       21.39864108,       21.39864108,      0.2324737382,       1.170323631,        1.27014777
          13,      -6.099392544,      -4.851795559,      -5.221352649,      -8.708402641,       25.67836929,       25.67836929,      0.2290049865,       1.165701928,       1.264842016
          14,      -6.152691939,      -4.853788602,      -5.219378452,      -8.639784166,       30.81404315,       30.81404315,      0.2239917268,         1.1592257,       1.256921137
          15,      -6.207829672,      -4.853322716,      -5.229336439,      -8.566428586,       36.97685178,       36.97685178,       0.217351382,       1.151118966,       1.246277163
