"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      
           0,      -5.984779229,       -4.77761475,      -4.847048876,      -9.486067619,               2.4,               2.4,      0.2386804038,       1.177522155,       1.277650664
           1,      -6.062747479,      -4.797825492,      -4.866335052,      -9.159640102,              2.88,              2.88,      0.2385273175,       1.177829686,       1.277860819
           2,      -6.029263912,      -4.816690243,      -4.887888015,      -8.964198714,             3.456,             3.456,      0.2383647991,        1.17811031,       1.278039125
           3,      -5.947575079,      -4.832641223,      -4.913531405,      -8.830445625,            4.1472,            4.1472,      0.2382024895,       1.178320944,        1.27815403
           4,      -5.874712157,      -4.843688846,      -4.946334881,      -8.739239171,           4.97664,           4.97664,      0.2380461878,       1.178417523,        1.27817803
           5,      -5.826000627,      -4.848439649,      -4.990260455,      -8.683489608,          5.971968,          5.971968,      0.2378969484,         1.1783609,       1.278091008
           6,      -5.805457613,      -4.847158993,       -5.04839064,      -8.660499577,         7.1663616,         7.1663616,      0.2377404053,       1.178124881,       1.277877561
           7,      -5.814526476,      -4.842019917,      -5.121001041,      -8.667638015,        8.59963392,        8.59963392,      0.2375361519,        1.17769586,       1.277516467
           8,      -5.849932716,      -4.836279911,      -5.203713115,       -8.69830565,        10.3195607,        10.3195607,      0.2372172897,       1.177053702,       1.276963321
           9,      -5.900793538,      -4.833025259,      -5.280939409,      -8.742992263,       12.38347284,       12.38347284,      0.2366864396,       1.176135673,       1.276124523
          10,      -5.953155263,      -4.834076734,      -5.316704814,      -8.781655237,       14.86016741,       14.86016741,      0.2358072819,       1.174797732,       1.274823031
          11,      -6.001535192,      -4.839195406,      -5.292227148,      -8.791701705,        17.8322009,        17.8322009,      0.2343796234,       1.172779407,       1.272746798
          12,      -6.049122499,      -4.845964813,      -5.247403493,      -8.763595849,       21.39864108,       21.39864108,      0.2321124082,       1.169688303,       1.269393115
          13,      -6.098854702,       -4.85114186,       -5.22064445,      -8.707555941,       25.67836929,       25.67836929,      0.2286360426,        1.16505818,       1.264076435
          14,      -6.152129623,      -4.853061359,      -5.218551617,      -8.639116729,       30.81404315,       30.81404315,      0.2236125978,       1.158570242,       1.256140155
          15,      -6.207276481,      -4.852503231,      -5.228414224,      -8.565564685,       36.97685178,       36.97685178,      0.2169585071,       1.150448622,       1.245475321
          16,      -6.257071617,      -4.850923767,      -5.233236928,       -8.49005516,       44.37222213,       44.37222213,      0.2090649766,        1.14176198,        1.23310727
          17,       -6.29523479,       -4.84871364,      -5.226269759,      -8.413589195,       53.24666656,       53.24666656,      0.2007945955,       1.134136545,       1.221153717
          18,      -6.322820787,      -4.845429097,      -5.210692509,      -8.336232501,       63.89599987,       63.89599987,      0.1931718614,       1.128766586,       1.211700321
          19,      -6.343538457,      -4.840739104,      -5.188990505,      -8.258176071,       6.389599987,       6.389599987,      0.1870083525,       1.125513012,       1.205348039
          20,      -6.354269409,      -4.834581361,      -5.161524798,      -8.245327719,       7.667519985,       7.667519985,      0.1864058282,       1.125211054,       1.204750974
          21,      -6.325908768,      -4.833290519,      -5.189561439,      -8.233521709,       9.201023982,       9.201023982,      0.1857348573,       1.124895469,       1.204110886
          22,      -6.320668601,      -4.829699214,      -5.234623842,      -8.220893274,       11.04122878,       11.04122878,      0.1849923413,       1.124566185,       1.203429975
          23,      -6.367906739,      -4.825971209,      -5.276503129,      -8.207020062,       13.24947453,       13.24947453,      0.1841832076,       1.124223702,       1.202717084
          24,      -6.410439199,      -4.824081527,      -5.290516205,      -8.191064617,       15.89936944,       15.89936944,      0.1833203417,       1.123863455,       1.201980499
          25,      -6.412247492,      -4.824269388,      -5.271772894,      -8.172300758,       19.07924333,       19.07924333,      0.1824257328,       1.123468702,       1.201218518
          26,      -6.402939819,      -4.825137663,      -5.242927322,      -8.150265958,       22.89509199,       22.89509199,      0.1815331685,       1.123002584,       1.200407431
          27,      -6.397290219,      -4.825258292,      -5.222457138,      -8.125112443,       27.47411039,       27.47411039,      0.1806924152,       1.122404256,       1.199490262
          28,      -6.393421685,      -4.824370929,      -5.210014142,      -8.097077798,       32.96893247,       32.96893247,      0.1799736862,       1.121597913,       1.198375682
