"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      
           0,      -9.955328664,      -8.213680904,      -8.707753213,       -10.1735274,               2.4,               2.4,      0.1511657128,      0.9988531853,       1.042835093
           1,        -9.9416026,      -8.213567753,        -8.7191482,       -10.1735036,              2.88,              2.88,      0.1511656945,      0.9988533013,       1.042835188
           2,      -9.921131262,      -8.213216673,      -8.734542943,      -10.17347826,             3.456,             3.456,      0.1511656721,      0.9988534378,         1.0428353
           3,      -9.921220524,      -8.212726822,      -8.751551158,      -10.17345537,            4.1472,            4.1472,      0.1511656447,      0.9988535988,       1.042835432
           4,       -9.94774097,      -8.212262709,      -8.767216484,      -10.17343936,           4.97664,           4.97664,      0.1511656112,      0.9988537896,       1.042835588
           5,      -9.987102834,      -8.212018495,      -8.778947708,      -10.17343289,          5.971968,          5.971968,      0.1511655706,      0.9988540165,       1.042835773
           6,      -10.01631086,       -8.21213025,       -8.78470274,      -10.17343479,         7.1663616,         7.1663616,      0.1511655214,      0.9988542873,       1.042835994
           7,      -10.02929844,      -8.212595032,      -8.783761469,      -10.17343978,        8.59963392,        8.59963392,       0.151165462,       0.998854611,       1.042836259
           8,      -10.03712812,      -8.213273172,      -8.778350768,      -10.17344128,        10.3195607,        10.3195607,      0.1511653902,      0.9988549982,       1.042836575
           9,      -10.04459542,      -8.213986178,      -8.772579963,      -10.17343535,       12.38347284,       12.38347284,      0.1511653032,      0.9988554617,       1.042836953
          10,      -10.05103332,      -8.214630758,      -8.768941417,      -10.17342257,       14.86016741,       14.86016741,      0.1511651976,      0.9988560163,       1.042837404
          11,      -10.05644163,      -8.215211015,      -8.767041047,      -10.17340624,        17.8322009,        17.8322009,      0.1511650694,      0.9988566791,       1.042837943
          12,      -10.05967733,      -8.215776938,      -8.765259539,      -10.17338948,       21.39864108,       21.39864108,      0.1511649142,      0.9988574699,       1.042838584
          13,      -10.05934406,       -8.21635323,      -8.762650787,      -10.17337392,       2.139864108,       2.139864108,      0.1511647274,      0.9988584136,       1.042839347
          14,      -10.05541196,      -8.216926952,      -8.759269652,      -10.17363148,       2.567836929,       2.567836929,       0.151164709,      0.9988585106,       1.042839426
          15,      -10.05096558,      -8.216921991,       -8.76338593,       -10.1736184,       3.081404315,       3.081404315,      0.1511646869,      0.9988586262,       1.042839519
          16,      -10.04452387,      -8.216827342,      -8.769383291,      -10.17360425,       3.697685178,       3.697685178,      0.1511646602,      0.9988587639,       1.042839631
          17,      -10.04682772,      -8.216686523,      -8.776175184,      -10.17359088,       4.437222213,       4.437222213,       0.151164628,      0.9988589281,       1.042839763
          18,      -10.05843314,      -8.216576829,      -8.782330621,      -10.17358018,       5.324666656,       5.324666656,      0.1511645892,      0.9988591241,       1.042839921
          19,      -10.07052312,      -8.216586092,       -8.78645224,      -10.17357293,       6.389599987,       6.389599987,      0.1511645425,      0.9988593584,        1.04284011
          20,      -10.07573186,      -8.216767957,      -8.787541483,        -10.173568,       7.667519985,       7.667519985,      0.1511644864,      0.9988596388,       1.042840336
          21,      -10.07605392,       -8.21710796,      -8.785662129,      -10.17356271,       9.201023982,       9.201023982,      0.1511644191,      0.9988599745,       1.042840606
          22,      -10.07560325,      -8.217534828,      -8.782252067,      -10.17355447,       11.04122878,       11.04122878,      0.1511643385,      0.9988603769,        1.04284093
          23,       -10.0750894,      -8.217973143,      -8.779064833,      -10.17354238,       13.24947453,       13.24947453,      0.1511642421,      0.9988608597,       1.042841318
          24,      -10.07445613,      -8.218390572,      -8.776773145,      -10.17352752,       15.89936944,       15.89936944,      0.1511641274,      0.9988614394,       1.042841785
          25,      -10.07348379,      -8.218798137,      -8.774875881,       -10.1735118,       19.07924333,       19.07924333,      0.1511639913,      0.9988621363,       1.042842347
          26,      -10.07124121,      -8.219214802,      -8.772634384,      -10.17349686,       19.07924333,       19.07924333,      0.1511638309,      0.9988629749,       1.042843026
          27,      -10.06701573,       -8.21964163,      -8.769761895,      -10.17352369,       1.907924333,       1.907924333,      0.1511636735,      0.9988638171,       1.042843711
          28,       -10.0646582,      -8.219960956,      -8.769516102,      -10.17375541,       2.289509199,       2.289509199,       0.151163658,      0.9988639036,       1.042843781
          29,      -10.06128174,      -8.219945585,      -8.772681597,      -10.17374445,       2.747411039,       2.747411039,      0.1511636395,      0.9988640069,       1.042843865
