"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       
           0,      -8.067058756,      -7.521699386,      -8.384617426,      -10.12456727,      -3.035280189,               2.4,               2.4,      0.1262975164,       1.164962711
           1,      -8.653522951,      -7.999759221,      -8.778805905,      -10.12464269,       -3.00576734,              2.88,              2.88,       0.126299931,       1.164961451
           2,      -8.752454185,      -8.286485312,      -8.838149542,      -10.12472125,      -3.190408215,             3.456,             3.456,       0.126302296,       1.164960254
           3,      -8.917957649,      -8.172968645,      -8.767403275,      -10.12479853,      -3.755930047,            4.1472,            4.1472,      0.1263042571,        1.16495928
           4,      -9.195594697,      -8.212148979,      -8.790524499,      -10.12486742,      -3.590266994,           4.97664,           4.97664,      0.1263055716,        1.16495863
           5,      -9.209607949,      -8.455044618,      -8.889259983,      -10.12492033,      -3.490372992,          5.971968,          5.971968,      0.1263061702,       1.164958322
           6,      -9.274216404,      -8.684109377,      -8.993809845,      -10.12495231,      -3.702386061,         7.1663616,         7.1663616,      0.1263062131,       1.164958283
           7,      -9.560946579,      -8.701442474,      -9.088497809,      -10.12496292,      -4.071922831,        8.59963392,        8.59963392,      0.1263060515,       1.164958357
           8,      -9.717771923,      -8.838621853,      -9.200159336,      -10.12495703,      -4.270176999,        10.3195607,        10.3195607,      0.1263059924,       1.164958404
           9,      -9.838892406,      -8.906669543,       -9.29883086,      -10.12493328,      -4.526825609,       12.38347284,       12.38347284,       0.126306056,       1.164958411
          10,      -10.11710457,      -8.926545276,      -9.387906402,      -10.12489071,      -4.513959791,       14.86016741,       14.86016741,        0.12630612,       1.164958426
          11,       -10.2108756,      -8.944153702,      -9.459580287,      -10.12482069,      -4.806657177,        17.8322009,        17.8322009,      0.1263061478,       1.164958464
          12,      -10.41830798,      -8.947192014,      -9.501494315,      -10.12471097,      -5.134179595,       21.39864108,       21.39864108,      0.1263061866,       1.164958505
          13,      -10.51137924,      -8.950665618,      -9.519973131,      -10.12454375,      -5.176509485,       25.67836929,       25.67836929,      0.1263062404,       1.164958542
          14,      -10.52124891,      -8.951029175,      -9.519154603,      -10.12429971,      -5.303838815,       30.81404315,       30.81404315,      0.1263062604,       1.164958588
          15,      -10.55423784,      -8.951230758,      -9.518635031,      -10.12396679,      -5.349671184,       36.97685178,       36.97685178,      0.1263062065,       1.164958646
          16,      -10.63931476,      -8.952681669,      -9.522897247,      -10.12354621,      -5.533441961,       44.37222213,       44.37222213,      0.1263060949,       1.164958703
          17,      -10.70960009,      -8.955085084,       -9.52515886,      -10.12305403,      -5.922754688,       53.24666656,       53.24666656,      0.1263059774,       1.164958756
          18,      -10.72612279,      -8.957831883,      -9.524748338,      -10.12251758,       -5.98223662,       63.89599987,       63.89599987,       0.126305904,       1.164958821
          19,      -10.74180464,      -8.960321862,      -9.525315614,        -10.121969,      -5.921958783,       6.389599987,       6.389599987,      0.1263058538,       1.164958953
          20,      -10.77148745,        -8.9621983,      -9.526349322,      -10.12499618,      -6.177885381,       7.667519985,       7.667519985,      0.1263058561,       1.164958966
          21,      -10.83684861,       -8.96266417,      -9.546989664,      -10.12496985,      -6.026876548,       9.201023982,       9.201023982,      0.1263058509,       1.164958984
          22,      -10.86415666,      -8.962605572,      -9.579703395,      -10.12490822,      -6.025345443,       11.04122878,       11.04122878,      0.1263058409,       1.164959008
          23,      -10.91104126,      -8.962752406,      -9.601690036,      -10.12481742,      -6.138017055,       13.24947453,       13.24947453,      0.1263058223,        1.16495904
          24,      -10.92436446,      -8.963461513,      -9.604473424,      -10.12470608,      -6.292915408,       15.89936944,       15.89936944,      0.1263057988,       1.164959083
          25,      -10.92021933,      -8.964545133,      -9.596403965,       -10.1245776,      -6.439705243,       19.07924333,       19.07924333,      0.1263057686,       1.164959138
