"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      
           0,      -10.26893218,      -8.592861653,      -8.971399711,      -9.731986244,      -2.538223074,               2.4,               2.4,      0.1097874991,       1.271770662,       1.259081379
           1,      -10.27297645,      -8.592793291,      -8.979814403,      -9.732028231,      -2.566854146,              2.88,              2.88,      0.1097874917,       1.271770731,       1.259081438
           2,      -10.25875786,      -8.592284209,      -8.992204035,      -9.732060672,      -3.030026835,             3.456,             3.456,      0.1097874825,       1.271770812,       1.259081508
           3,      -10.25631734,      -8.591487669,      -9.006387715,      -9.732080892,      -3.065908257,            4.1472,            4.1472,      0.1097874709,       1.271770907,        1.25908159
           4,      -10.27419352,      -8.590678976,      -9.019534836,      -9.732081729,      -3.108279372,           4.97664,           4.97664,      0.1097874566,       1.271771021,       1.259081687
           5,      -10.30099251,      -8.590199676,        -9.0291273,      -9.732053745,      -3.158209868,          5.971968,          5.971968,      0.1097874392,       1.271771156,       1.259081803
           6,      -10.31847266,      -8.590303779,      -9.033263679,      -9.731988061,      -3.216896626,         7.1663616,         7.1663616,       0.109787418,       1.271771317,        1.25908194
           7,      -10.32392505,      -8.591004124,      -9.031424068,       -9.73189835,      -3.285650423,        8.59963392,        8.59963392,      0.1097873925,       1.271771509,       1.259082105
           8,      -10.32679339,      -8.592061004,      -9.025784485,      -9.731762828,      -3.365864883,        10.3195607,        10.3195607,      0.1097873614,       1.271771739,       1.259082302
           9,      -10.33043038,      -8.593152058,      -9.020078713,      -9.731581624,       -3.45896223,       12.38347284,       12.38347284,      0.1097873234,       1.271772015,       1.259082538
          10,      -10.33362613,      -8.594087084,      -9.016451362,      -9.731361069,      -3.566312633,       14.86016741,       14.86016741,      0.1097872769,       1.271772344,       1.259082819
          11,      -10.33569589,      -8.594877096,      -9.014398836,      -9.731074761,       -3.68913032,        17.8322009,        17.8322009,      0.1097872199,       1.271772738,       1.259083153
          12,      -10.33576429,      -8.595621877,      -9.012350487,        -9.7307091,      -3.828363885,       21.39864108,       21.39864108,      0.1097871503,       1.271773209,       1.259083552
          13,      -10.33315817,      -8.596373004,      -9.009416277,      -9.730243248,      -3.984622266,       25.67836929,       25.67836929,      0.1097870667,       1.271773773,       1.259084029
          14,      -10.32801673,      -8.597108167,      -9.005638061,      -9.729659885,      -4.158201936,       30.81404315,       30.81404315,      0.1097869678,        1.27177445,       1.259084602
          15,      -10.32062564,      -8.597779921,      -9.001229259,      -9.728933276,      -4.349265034,       36.97685178,       36.97685178,      0.1097868533,       1.271775266,       1.259085295
          16,      -10.31080932,      -8.598343878,      -8.996121561,      -9.728041795,      -2.456529679,       44.37222213,       44.37222213,      0.1097867218,        1.27177625,       1.259086133
          17,      -10.29810846,      -8.598747277,      -8.990084352,       -9.72678011,      -2.794489208,       53.24666656,       53.24666656,      0.1097865709,       1.271777435,       1.259087146
          18,      -10.28215897,      -8.598915646,      -8.982890566,      -9.725388218,      -3.164377444,       5.324666656,       5.324666656,       0.109786397,       1.271778869,       1.259088375
          19,      -10.26271144,      -8.598748255,      -8.974312408,      -9.732711551,      -3.564075986,       6.389599987,       6.389599987,      0.1097863815,        1.27177902,       1.259088505
          20,      -10.27144388,      -8.598181355,      -8.993239245,       -9.73271883,      -3.623298805,       7.667519985,       7.667519985,      0.1097863619,       1.271779198,       1.259088658
          21,      -10.28353832,      -8.597029593,      -9.014478132,      -9.732664406,      -3.692143962,       9.201023982,       9.201023982,      0.1097863373,       1.271779407,       1.259088838
          22,      -10.31833696,      -8.596368118,      -9.028041415,      -9.732545789,       -3.77169102,       11.04122878,       11.04122878,      0.1097863072,       1.271779656,       1.259089051
          23,      -10.33549113,      -8.596665738,        -9.0308531,      -9.732359387,      -3.862967824,       13.24947453,       13.24947453,      0.1097862703,       1.271779953,       1.259089306
          24,      -10.33613009,      -8.597637534,      -9.025832683,      -9.732109552,      -3.966902566,       15.89936944,       15.89936944,      0.1097862251,       1.271780309,        1.25908961
