"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       
           0,       -5.77272907,      -4.604135764,      -4.804645635,      -6.832397588,      -2.496844974,               2.4,               2.4,      0.2478934915,       1.170798153
           1,      -5.834234876,       -4.61633676,      -4.820091929,      -6.835407532,      -2.395793656,              2.88,              2.88,      0.2480722074,       1.171341224
           2,       -5.86156143,      -4.628781656,      -4.833954591,      -6.838828094,      -2.400205059,             3.456,             3.456,      0.2482332934,       1.171857086
           3,      -5.855187175,      -4.640998652,      -4.847573653,      -6.842689779,      -2.317525397,            4.1472,            4.1472,      0.2483446989,       1.172272299
           4,      -5.826976899,      -4.652235271,      -4.864678175,      -6.847072729,      -2.131463928,           4.97664,           4.97664,      0.2483944351,       1.172542648
           5,      -5.791419668,      -4.661568284,      -4.890478265,      -6.852132046,      -2.114451148,          5.971968,          5.971968,      0.2483868982,       1.172660712
           6,       -5.76203766,      -4.668231769,      -4.929772358,      -6.858082126,      -2.190029379,         7.1663616,         7.1663616,      0.2483296151,       1.172635583
           7,      -5.748644398,      -4.672055015,      -4.985162117,      -6.865073218,      -2.312392732,        8.59963392,        8.59963392,       0.248212862,       1.172456004
           8,       -5.75533819,      -4.673729795,      -5.053905947,       -6.87296847,       -2.43572949,        10.3195607,        10.3195607,      0.2479940064,       1.172061593
           9,      -5.780173597,      -4.674617964,      -5.120163537,      -6.881149405,      -2.493482315,       12.38347284,       12.38347284,      0.2475822411,       1.171329394
          10,      -5.815986898,      -4.676078508,      -5.151675107,      -6.888594557,      -2.461229654,       14.86016741,       14.86016741,      0.2468140793,       1.170058567
          11,      -5.853661005,      -4.678633601,      -5.134587626,      -6.894344138,      -2.390401807,        17.8322009,        17.8322009,      0.2454158201,       1.167938967
          12,      -5.889312003,      -4.681545022,      -5.099038106,      -6.898061005,        -2.2480959,       21.39864108,       21.39864108,      0.2429871845,       1.164522527
          13,        -5.9274695,      -4.683385777,      -5.075239535,      -6.900058934,      -2.106940383,       25.67836929,       25.67836929,       0.239036264,       1.159260031
          14,       -5.97105129,      -4.683325991,      -5.070211166,      -6.900453793,      -2.127284452,       30.81404315,       30.81404315,      0.2331153142,       1.151656124
          15,      -6.012583677,      -4.681665576,      -5.075343938,        -6.8980529,      -2.287885141,       36.97685178,       36.97685178,      0.2250212691,       1.141571642
          16,      -6.042235761,      -4.679037067,      -5.078419176,      -6.890127213,       -2.25997469,       44.37222213,       44.37222213,      0.2149767294,       1.129616092
          17,      -6.058885862,      -4.675634165,      -5.073800653,      -6.873455236,      -2.088267491,       53.24666656,       53.24666656,       0.203698076,        1.11732248
          18,      -6.066932589,      -4.671362145,      -5.062060753,      -6.845807079,      -2.215472674,       63.89599987,       63.89599987,      0.1922946384,       1.106665936
          19,      -6.069763768,      -4.666117986,      -5.044374812,      -6.806930812,      -2.282754753,       63.89599987,       63.89599987,      0.1820583929,       1.099062865
          20,      -6.065255575,      -4.659951725,      -5.021735037,      -6.770447919,      -2.295317559,       63.89599987,       63.89599987,      0.1750380838,       1.095132073
          21,      -6.072667713,      -4.654773283,      -5.008561242,      -6.732309072,      -2.262886697,       76.67519985,       76.67519985,      0.1708830913,       1.093679983
          22,      -6.069978552,       -4.65054351,       -4.99924388,      -6.684366963,      -2.229128078,       7.667519985,       7.667519985,      0.1693505622,       1.094615064
          23,      -6.031377847,      -4.646187475,      -4.979406129,        -6.7120093,      -2.794764057,       9.201023982,       9.201023982,      0.1692299642,       1.094756726
