"Inner_Iter",     "rms[k]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       
           0,     -0.2295508405,               2.4,               2.4,       4.561821866,      0.4413306272
           1,     -0.8158567575,              2.88,              2.88,       3.993986501,      0.3851728774
           2,      -1.391053321,             3.456,             3.456,       3.265813598,      0.3736571147
           3,       -1.94512094,            4.1472,            4.1472,       2.755562524,      0.4698579527
           4,      -2.452187084,           4.97664,           4.97664,       2.395624418,      0.6314001686
           5,      -2.855532598,          5.971968,          5.971968,       2.139996673,      0.8278870052
           6,      -3.119213922,         7.1663616,         7.1663616,       1.957492476,       1.039209302
           7,      -3.293048187,        8.59963392,        8.59963392,       1.825935783,       1.251269457
           8,      -3.429806033,        10.3195607,        10.3195607,       1.728837064,       1.453210451
           9,      -3.550718642,       12.38347284,       12.38347284,       1.653591518,       1.636273771
          10,      -3.662941846,       14.86016741,       14.86016741,       1.590584435,       1.793455553
          11,       -3.76904783,        17.8322009,        17.8322009,       1.533717095,       1.921628047
          12,      -3.869801651,       21.39864108,       21.39864108,          1.480676,       2.022849981
          13,      -3.964892266,       25.67836929,       25.67836929,       1.431992973,       2.103917798
          14,      -4.053167906,       30.81404315,       30.81404315,       1.388226867,       2.173415282
          15,      -4.132873725,       36.97685178,       36.97685178,       1.346426232,       2.238100408
          16,      -4.201773568,       44.37222213,       44.37222213,       1.298187631,       2.300216808
          17,      -4.257182595,       53.24666656,       53.24666656,       1.229347188,        2.35343929
          18,      -4.297381581,       63.89599987,       63.89599987,       1.124079766,       2.374537275
          19,       -4.32308344,       6.389599987,       6.389599987,       0.974216335,       2.323870504
          20,      -4.335717074,       7.667519985,       7.667519985,      0.9583053458,       2.318308592
          21,      -4.335915082,       9.201023982,       9.201023982,       0.938830392,       2.310508779
          22,      -4.336034735,       11.04122878,       11.04122878,      0.9151478935,       2.299486355
          23,      -4.336012306,       13.24947453,       13.24947453,      0.8864284775,       2.283766664
          24,      -4.335759946,       15.89936944,       15.89936944,        0.85167593,       2.261111857
          25,      -4.335161809,       19.07924333,       19.07924333,      0.8097420153,       2.228110784
          26,      -4.334069682,       22.89509199,       22.89509199,      0.7593962565,       2.179821065
          27,      -4.332302456,       27.47411039,       27.47411039,      0.6995717584,       2.109786686
          28,      -4.329653302,       32.96893247,       32.96893247,      0.6298637391,       2.010669094
          29,       -4.32590915,       39.56271897,       39.56271897,      0.5508839003,       1.875327288
          30,      -4.320891425,       47.47526276,       47.47526276,      0.4637793497,       1.698300987
          31,      -4.314546238,       56.97031531,       56.97031531,      0.3692567451,          1.478289
          32,      -4.307062437,       68.36437837,       68.36437837,      0.2690083467,       1.224483042
          33,      -4.298764161,       6.836437837,       6.836437837,       0.168114422,      0.9592158268
          34,      -4.290547973,       8.203725405,       8.203725405,      0.1574139042,      0.9309856168
          35,      -4.289575917,       9.844470486,       9.844470486,      0.1450060348,      0.8980251514
          36,      -4.288440505,       11.81336458,       11.81336458,      0.1306882739,      0.8598332166
          37,      -4.287122961,        14.1760375,        14.1760375,      0.1142103233,      0.8157876764
          38,      -4.285604927,         17.011245,         17.011245,     0.09530046988,      0.7652418735
          39,      -4.283882078,         20.413494,         20.413494,     0.07374584497,      0.7076468714
          40,      -4.281954779,        24.4961928,        24.4961928,     0.04959709472,      0.6428266702
          41,      -4.279838577,       29.39543136,       29.39543136,     0.02339957748,      0.5713532014
          42,       -4.27758208,       35.27451763,       35.27451763,   -0.003649219176,      0.4952599615
          43,      -4.275279749,       42.32942116,       42.32942116,    -0.02976164226,      0.4188248031
          44,      -4.273087184,       50.79530539,       50.79530539,    -0.05267144417,      0.3491610137
          45,      -4.271237544,       60.95436647,       60.95436647,    -0.06938686248,      0.2969506389
          46,      -4.270080749,       73.14523976,       73.14523976,    -0.07527067712,       0.278093118
          47,      -4.270080705,       7.314523976,       7.314523976,    -0.06269893092,      0.3160826319
          48,      -4.271810768,       8.777428771,       8.777428771,    -0.06122814207,      0.3204577899
          49,      -4.271922431,       10.53291453,       10.53291453,    -0.05918909822,      0.3266075621
          50,      -4.272070995,       12.63949743,       12.63949743,     -0.0563383438,      0.3352548651
          51,      -4.272269884,       15.16739692,       15.16739692,    -0.05231735487,      0.3474585989
          52,      -4.272538955,        18.2008763,        18.2008763,    -0.04658306025,      0.3647666992
          53,      -4.272908183,       21.84105156,       21.84105156,    -0.03830193188,      0.3894754268
          54,      -4.273422756,       26.20926187,       26.20926187,    -0.02627846361,      0.4248996082
          55,      -4.274150142,       31.45111425,       31.45111425,   -0.008935748917,      0.4756370074
          56,      -4.275191108,        37.7413371,        37.7413371,     0.01549116779,      0.5471675576
          57,      -4.276695631,       45.28960451,       45.28960451,     0.04884406311,      0.6452426315
          58,       -4.27886856,       54.34752542,       54.34752542,     0.09274734123,      0.7744598497
          59,      -4.281979068,        65.2170305,        65.2170305,      0.1479060699,      0.9361417013
          60,      -4.286373098,        78.2604366,        78.2604366,      0.2121306019,       1.123706811
          61,      -4.292464809,        7.82604366,        7.82604366,      0.2771098562,       1.315396997
          62,      -4.300614721,       9.391252392,       9.391252392,      0.2835136377,       1.334323154
          63,      -4.301315347,       11.26950287,       11.26950287,      0.2909882722,       1.356454029
          64,       -4.30216508,       13.52340344,       13.52340344,      0.2996336932,       1.382150786
          65,      -4.303198491,       16.22808413,       16.22808413,      0.3095076118,       1.411700144
          66,      -4.304460753,       19.47370096,       19.47370096,      0.3205885944,       1.445244447
          67,      -4.306011508,       23.36844115,       23.36844115,      0.3326790473,       1.482521275
          68,      -4.307929786,       28.04212938,       28.04212938,      0.3452074561,       1.522291238
          69,       -4.31031959,       33.65055526,       33.65055526,      0.3569670723,       1.561579261
          70,       -4.31331646,       40.38066631,       40.38066631,      0.3658909067,       1.595052228
          71,       -4.31709348,       48.45679957,       48.45679957,      0.3689223664,       1.614774562
          72,      -4.321866611,       58.14815949,       58.14815949,      0.3619541911,       1.610222045
          73,      -4.327898982,       69.77779139,       69.77779139,      0.3402866892,       1.569471402
          74,      -4.335507069,       83.73334966,       83.73334966,      0.3003577672,       1.483271602
          75,       -4.34507707,       83.73334966,       83.73334966,      0.2431697216,       1.353211652
          76,      -4.357121298,       100.4800196,       100.4800196,      0.1870769085,       1.222616197
          77,      -4.369343002,       10.04800196,       10.04800196,      0.1353010279,       1.100871084
          78,      -4.384953063,       12.05760235,       12.05760235,      0.1302427208,        1.08896526
          79,      -4.386197329,       14.46912282,       14.46912282,      0.1244356091,       1.075285409
          80,      -4.387708246,       17.36294739,       17.36294739,      0.1178701464,       1.059806113
          81,      -4.389551962,       20.83553686,       20.83553686,      0.1106234974,       1.042686353
          82,      -4.391815887,       25.00264424,       25.00264424,      0.1029402137,       1.024476517
          83,      -4.394614549,       30.00317308,       30.00317308,      0.0953762511,       1.006522853
          84,      -4.398095552,        36.0038077,        36.0038077,       0.088978135,      0.9914720708
          85,      -4.402445703,       43.20456924,       43.20456924,     0.08541134888,      0.9836543275
          86,      -4.407897474,       51.84548309,       51.84548309,     0.08694319717,      0.9891325135
          87,      -4.414736194,       62.21457971,       62.21457971,     0.09621614115,       1.015259489
          88,      -4.423309486,       74.65749565,       74.65749565,      0.1156482313,       1.069360783
          89,      -4.434038845,       89.58899478,       89.58899478,      0.1461781974,       1.155890136
          90,      -4.447426437,       8.958899478,       8.958899478,      0.1853975209,       1.271673266
          91,      -4.464075616,       10.75067937,       10.75067937,       0.189396547,       1.283507678
          92,      -4.465454224,       12.90081525,       12.90081525,      0.1941997931,       1.297807624
          93,      -4.467131411,        15.4809783,        15.4809783,      0.1999528715,       1.315069884
          94,      -4.469178594,       18.57717396,       18.57717396,       0.206815246,       1.335885909
          95,      -4.471688171,       22.29260875,       22.29260875,      0.2149590396,       1.360958049
          96,      -4.474778593,        26.7511305,        26.7511305,      0.2245403629,       1.391020484
          97,      -4.478599597,        32.1013566,        32.1013566,      0.2355809957,       1.426515386
          98,      -4.483337611,       38.52162792,       38.52162792,        0.24776008,       1.467049234
          99,      -4.489221534,        46.2259535,        46.2259535,      0.2602247145,        1.51088457
         100,      -4.496530355,        55.4711442,        55.4711442,      0.2715140094,       1.554677572
         101,       -4.50560216,       66.56537304,       66.56537304,       0.279559529,        1.59335713
         102,      -4.516840539,       79.87844765,       79.87844765,      0.2817758436,       1.620162445
         103,      -4.530736198,       79.87844765,       79.87844765,      0.2754487068,       1.627401601
         104,      -4.547905566,       79.87844765,       79.87844765,      0.2622040702,       1.614420961
         105,      -4.565205802,       95.85413718,       95.85413718,      0.2443565272,       1.586771811
         106,      -4.582761571,       9.585413718,       9.585413718,      0.2206436968,        1.54347127
         107,      -4.604769792,       11.50249646,       11.50249646,      0.2182398386,       1.539033823
         108,      -4.606593707,       13.80299575,       13.80299575,      0.2153314973,       1.533591154
         109,      -4.608829258,        16.5635949,        16.5635949,      0.2118032913,       1.526889879
         110,      -4.611580314,       19.87631389,       19.87631389,      0.2075077564,       1.518591529
         111,      -4.614978865,       23.85157666,       23.85157666,      0.2022850535,       1.508312244
         112,      -4.619190774,       28.62189199,       28.62189199,      0.1960285366,       1.495773218
         113,       -4.62442186,       34.34627039,       34.34627039,      0.1887741018,       1.481020222
         114,      -4.630924831,       41.21552447,       41.21552447,      0.1807665293,       1.464627345
         115,      -4.639007166,       49.45862937,       49.45862937,      0.1725091401,       1.447909339
         116,      -4.649040463,       59.35035524,       59.35035524,      0.1648398034,       1.433201035
         117,      -4.661472898,       71.22042629,       71.22042629,      0.1590354042,       1.424173692
         118,      -4.676847375,       85.46451155,       85.46451155,      0.1568231469,       1.425935252
         119,      -4.695827434,       102.5574139,       102.5574139,      0.1600658929,        1.44431019
         120,      -4.719255562,       10.25574139,       10.25574139,      0.1697946636,       1.483283402
         121,      -4.748091478,       12.30688966,       12.30688966,      0.1708275015,       1.487365938
         122,      -4.750529852,        14.7682676,        14.7682676,      0.1721387646,       1.492486488
         123,      -4.753537271,       17.72192111,       17.72192111,      0.1738013692,       1.498917304
         124,      -4.757254803,       21.26630534,       21.26630534,      0.1759055905,       1.507004982
         125,      -4.761856355,        25.5195664,        25.5195664,      0.1785820176,        1.51723179
         126,       -4.76755452,       30.62347969,       30.62347969,      0.1820195105,        1.53024891
         127,      -4.774606994,       36.74817562,       36.74817562,      0.1864138857,       1.546740978
         128,      -4.783327096,       44.09781075,       44.09781075,      0.1918334716,       1.567106159
         129,      -4.794092059,        52.9173729,        52.9173729,      0.1980787989,       1.591110528
         130,      -4.807345313,       63.50084748,       63.50084748,      0.2045921861,       1.617619908
         131,      -4.823617706,       76.20101697,       76.20101697,      0.2103788208,       1.644335359
         132,      -4.843548782,       91.44122036,       91.44122036,      0.2139368485,       1.667549024
         133,      -4.867918021,       91.44122036,       91.44122036,      0.2133957234,       1.682408465
         134,      -4.897701801,       9.144122036,       9.144122036,      0.2086954732,       1.685734868
         135,      -4.927863908,       10.97294644,       10.97294644,      0.2081873292,        1.68597618
         136,      -4.930577407,       13.16753573,       13.16753573,      0.2075157114,        1.68609783
         137,      -4.933909305,       15.80104288,       15.80104288,      0.2066141724,       1.685991958
         138,       -4.93800209,       18.96125145,       18.96125145,      0.2053826246,       1.685479599
         139,      -4.943026304,       22.75350175,       22.75350175,      0.2036887869,       1.684308414
         140,      -4.949187192,       27.30420209,       27.30420209,      0.2013908591,        1.68218592
         141,      -4.956731483,       32.76504251,       32.76504251,      0.1983704881,       1.678832391
         142,      -4.965954987,       39.31805102,       39.31805102,      0.1945449396,       1.674010021
         143,      -4.977211161,       47.18166122,       47.18166122,      0.1898609344,       1.667552305
         144,       -4.99092474,       56.61799346,       56.61799346,      0.1843275785,       1.659508677
         145,      -5.007613402,       67.94159216,       67.94159216,      0.1781264365,       1.650460037
         146,      -5.027871294,       81.52991059,       81.52991059,      0.1717615081,       1.641914042
         147,       -5.05242422,       97.83589271,       97.83589271,       0.166164908,       1.636592061
         148,      -5.082163992,       9.783589271,       9.783589271,      0.1626078246,       1.638229211
         149,      -5.118107802,       11.74030712,       11.74030712,      0.1622750715,       1.638460884
         150,      -5.121516705,       14.08836855,       14.08836855,      0.1619201897,       1.638857446
         151,      -5.125672789,       16.90604226,       16.90604226,      0.1615496794,       1.639484975
         152,      -5.130732001,       20.28725071,       20.28725071,      0.1611718072,        1.64042629
         153,      -5.136878151,       24.34470085,       24.34470085,      0.1608127435,       1.641824527
         154,      -5.144331233,       29.21364102,       29.21364102,      0.1605511055,       1.643964645
         155,      -5.153355173,       35.05636923,       35.05636923,      0.1605400094,       1.647324038
         156,      -5.164265819,       42.06764308,       42.06764308,      0.1609782221,       1.652517809
         157,      -5.177440153,       50.48117169,       50.48117169,      0.1620393175,       1.660153325
         158,      -5.193328999,       60.57740603,       60.57740603,      0.1638045853,       1.670670816
         159,      -5.212486713,       72.69288723,       72.69288723,      0.1662041406,       1.684168919
         160,      -5.235597671,       87.23146468,       87.23146468,      0.1689205015,       1.700115889
         161,      -5.263451833,       104.6777576,       104.6777576,      0.1712536868,        1.71692703
         162,      -5.297049347,       10.46777576,       10.46777576,      0.1720787274,       1.731729011
         163,      -5.337738642,       12.56133091,       12.56133091,      0.1721448629,       1.733176627
         164,       -5.34178783,        15.0735971,        15.0735971,      0.1721887708,       1.734824318
         165,      -5.346681109,       18.08831652,       18.08831652,      0.1721787667,       1.736648234
         166,      -5.352587033,       21.70597982,       21.70597982,      0.1720612064,       1.738584122
