"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       
           0,      -9.534537836,        -7.6169351,      -8.211766724,      -8.767993241,      -2.055976678,               2.4,               2.4,      0.1182241826,       1.218179838
           1,      -9.585819055,      -7.617157572,      -8.214826973,      -8.768016009,       -2.17693957,              2.88,              2.88,      0.1182241488,        1.21818014
           2,      -9.585649755,      -7.617226818,      -8.222960801,      -8.768040928,      -2.368214714,             3.456,             3.456,      0.1182241075,       1.218180501
           3,      -9.572883853,      -7.617157925,      -8.234876187,      -8.768067114,      -2.543231555,            4.1472,            4.1472,      0.1182240565,       1.218180929
           4,      -9.575882195,      -7.617007101,       -8.24817703,      -8.768092417,      -2.434476875,           4.97664,           4.97664,       0.118223994,       1.218181439
           5,      -9.596962337,      -7.616873274,      -8.260027995,      -8.768113724,      -2.281817096,          5.971968,          5.971968,      0.1182239181,       1.218182048
           6,      -9.622203024,      -7.616868659,      -8.267692796,      -8.768127943,      -2.184392525,         7.1663616,         7.1663616,       0.118223827,       1.218182777
           7,      -9.635644613,      -7.617063681,       -8.26961025,      -8.768133141,      -2.117760683,        8.59963392,        8.59963392,       0.118223718,        1.21818365
           8,      -9.638249809,      -7.617442555,      -8.266551635,      -8.768128287,      -2.058548969,        10.3195607,        10.3195607,       0.118223587,       1.218184696
           9,      -9.640942603,      -7.617914061,      -8.261516134,      -8.768114372,      -1.994455537,       12.38347284,       12.38347284,       0.118223428,       1.218185948
          10,      -9.646357987,      -7.618381582,      -8.257577527,      -8.768089311,      -1.923907653,       14.86016741,       14.86016741,      0.1182232334,       1.218187445
          11,      -9.650844668,      -7.618805391,      -8.255657457,      -8.768049261,      -1.850457407,        17.8322009,        17.8322009,      0.1182229937,       1.218189234
          12,      -9.651544466,      -7.619202738,      -8.254708406,      -8.767988575,      -1.776858723,       21.39864108,       21.39864108,      0.1182226976,       1.218191369
          13,      -9.648081561,      -7.619600981,      -8.253500671,      -8.767900881,      -1.703376014,       25.67836929,       25.67836929,      0.1182223339,       1.218193917
          14,      -9.641628568,      -7.620004944,      -8.251673323,        -8.7677801,      -1.628965227,       30.81404315,       30.81404315,      0.1182218944,       1.218196963
          15,      -9.633161042,       -7.62040237,      -8.249391983,       -8.76762114,      -1.552777778,       36.97685178,       36.97685178,      0.1182213764,       1.218200616
          16,      -9.622651453,      -7.620778872,      -8.246733641,      -8.767420397,      -1.474908565,       44.37222213,       44.37222213,      0.1182207804,       1.218205011
          17,      -9.609739651,       -7.62112087,      -8.243584929,      -8.767175994,       -1.39619868,       53.24666656,       53.24666656,      0.1182201032,       1.218210301
          18,       -9.59424084,      -7.621412135,      -8.239792484,      -8.766887293,      -1.317548727,       63.89599987,       63.89599987,      0.1182193322,       1.218216674
          19,      -9.576058075,      -7.621632631,      -8.235207387,      -8.766553318,       -1.23987194,       76.67519985,       76.67519985,      0.1182184493,       1.218224385
          20,      -9.554879538,      -7.621758603,      -8.229636813,      -8.766169901,      -1.164467556,       7.667519985,       7.667519985,      0.1182174376,       1.218233791
          21,      -9.530344799,      -7.621761013,      -8.222804546,      -8.769432699,      -1.817478496,       9.201023982,       9.201023982,      0.1182173388,       1.218234754
          22,      -9.604654506,      -7.621925059,      -8.237774948,      -8.769464939,      -2.168344341,       11.04122878,       11.04122878,      0.1182172162,       1.218235898
          23,      -9.624549062,      -7.621789913,      -8.257307934,      -8.769476712,      -2.024143944,       13.24947453,       13.24947453,      0.1182170667,       1.218237262
          24,       -9.65227872,      -7.621799983,      -8.268215412,      -8.769467096,      -1.882656729,       15.89936944,       15.89936944,      0.1182168859,       1.218238895
          25,      -9.653262604,       -7.62209533,      -8.268742468,      -8.769438539,      -1.806436846,       19.07924333,       19.07924333,      0.1182166649,       1.218240852
          26,         -9.646629,      -7.622543762,      -8.264200529,      -8.769391716,      -1.744126196,       22.89509199,       22.89509199,      0.1182163906,       1.218243197
          27,      -9.644433218,      -7.622982636,      -8.260112225,      -8.769323279,      -1.678357212,       27.47411039,       27.47411039,      0.1182160474,       1.218246003
          28,      -9.641659663,      -7.623359188,      -8.257681155,      -8.769227089,      -1.607697576,       32.96893247,       32.96893247,       0.118215621,        1.21824936
          29,      -9.634929444,      -7.623691329,      -8.255571987,      -8.769096795,      -1.533174949,       39.56271897,       39.56271897,      0.1182151021,       1.218253382
          30,      -9.624578035,      -7.623992402,      -8.252841327,      -8.768927615,      -1.455139627,       47.47526276,       47.47526276,       0.118214488,       1.218258206
          31,       -9.61163762,      -7.624252982,      -8.249369493,      -8.768716786,      -1.374548737,       56.97031531,       56.97031531,       0.118213776,       1.218263996
          32,      -9.596056326,      -7.624453937,      -8.245160603,       -8.76846247,      -1.293146702,       68.36437837,       68.36437837,      0.1182129557,        1.21827094
          33,      -9.577357104,      -7.624572785,      -8.240063695,      -8.768161033,      -1.213144187,       6.836437837,       6.836437837,      0.1182120104,        1.21827929
          34,      -9.555195749,      -7.624582215,      -8.233842987,      -8.771012992,       -1.88133718,       8.203725405,       8.203725405,      0.1182119181,       1.218280144
