"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      
           0,      -9.664547395,      -7.923138372,      -8.106695232,     -0.7827131444,       3.955592884,               2.4,               2.4,      0.1263084978,       1.180061238,       1.186408668
           1,      -9.673306726,      -5.175361219,      -5.734874355,      0.9435050828,        5.64974756,              2.88,              2.88,      0.1263085039,        1.18006127,       1.186408705
           2,      -7.480325163,      -5.156770679,      -5.718754363,       0.340143186,       5.046343327,             3.456,             3.456,      0.1263085366,       1.180061319,       1.186408764
           3,      -7.171110742,      -5.150509636,      -5.710480477,     -0.2787220456,       4.426444287,            4.1472,            4.1472,       0.126308719,       1.180061446,       1.186408924
           4,      -6.997590436,      -5.148671134,      -5.701277095,     -0.9582877767,       3.742470352,           4.97664,           4.97664,      0.1263095384,       1.180061896,       1.186409487
           5,      -6.889258756,      -5.149227582,      -5.688020457,      -1.825178129,       2.864197238,          5.971968,          5.971968,      0.1263122843,       1.180063405,       1.186411311
           6,      -6.824246064,      -5.151213674,      -5.670341283,      -2.902313239,       1.831743856,         7.1663616,         7.1663616,      0.1263191235,       1.180067475,        1.18641605
           7,      -6.791760287,      -5.153941531,       -5.65054527,      -3.124314317,       1.642179737,        8.59963392,        8.59963392,      0.1263319085,       1.180076011,       1.186425655
           8,      -6.783616746,      -5.156869438,      -5.632346143,      -3.233225823,       1.533171314,        10.3195607,        10.3195607,       0.126349945,       1.180089627,       1.186440653
           9,      -6.791564829,      -5.159692465,      -5.618971801,      -3.335790261,       1.430525779,       12.38347284,       12.38347284,      0.1263687006,       1.180104355,       1.186457272
          10,      -6.807911289,      -5.162410003,      -5.611441123,      -3.433605789,       1.332678931,       14.86016741,       14.86016741,      0.1263800414,       1.180105789,       1.186461848
          11,      -6.825427289,      -5.165280222,      -5.608193506,      -3.527729466,       1.238570614,        17.8322009,        17.8322009,      0.1263700104,       1.180056826,       1.186416037
          12,      -6.838392607,       -5.16860987,      -5.606420994,      -3.618929503,       1.147439932,       21.39864108,       21.39864108,      0.1263094694,       1.179876072,       1.186225526
          13,      -6.840406328,      -5.172609152,      -5.603579976,      -3.707758011,       1.058746704,       25.67836929,       25.67836929,      0.1261432017,       1.179423116,       1.185708128
          14,      -6.830945819,      -5.177244795,      -5.598483894,      -3.794579827,      0.9721358503,       30.81404315,       30.81404315,      0.1258010023,       1.178542007,       1.184629629
          15,      -6.814401671,      -5.182355802,      -5.591053011,       -3.87958741,      0.8874214557,       36.97685178,       36.97685178,      0.1252538789,       1.177203769,       1.182883063
          16,       -6.79674787,      -5.187827826,      -5.581377449,      -3.962852903,      0.8045475191,       44.37222213,       44.37222213,      0.1245869184,       1.175663493,       1.180730666
          17,      -6.787680119,      -5.193682949,       -5.56982035,      -4.044482068,      0.7234623044,       53.24666656,       53.24666656,      0.1239956212,       1.174421004,        1.17881141
          18,      -6.776158655,      -5.199933997,       -5.55654939,      -4.124831214,       0.643913718,       63.89599987,       63.89599987,      0.1236517983,        1.17390122,       1.177723138
          19,      -6.769803176,      -5.206634167,      -5.542447059,      -4.204467317,      0.5654158701,       76.67519985,       76.67519985,       0.123533008,        1.17409374,       1.177466071
          20,      -6.748993766,      -5.213933284,      -5.526686522,      -4.283523145,      0.4877461395,       76.67519985,       76.67519985,      0.1233798828,       1.174473692,       1.177284346
          21,       -6.73503277,      -5.221740747,      -5.510421689,      -4.361085532,      0.4115663865,       76.67519985,       76.67519985,      0.1229900421,       1.174430475,       1.176476371
          22,      -6.740043956,      -5.228847831,      -5.509244829,      -4.425163151,       0.348560122,       76.67519985,       76.67519985,      0.1223314956,       1.173791024,       1.174880576
          23,      -6.754911305,      -5.235847452,      -5.511234538,      -4.478915229,      0.2957472878,       76.67519985,       76.67519985,        0.12148027,       1.172616255,       1.172670996
          24,      -6.749711451,      -5.243062968,      -5.512830357,      -4.525149878,      0.2504322837,       76.67519985,       76.67519985,      0.1205402447,       1.171059809,       1.170121981
          25,      -6.759340598,      -5.250805257,      -5.514847265,      -4.565998844,      0.2104663333,       76.67519985,       76.67519985,      0.1195984224,       1.169285291,       1.167480113
          26,       -6.77320301,       -5.25908945,      -5.518611886,      -4.602923797,      0.1743089777,       7.667519985,       7.667519985,      0.1187160206,        1.16743713,       1.164937299
          27,      -6.772162672,      -5.267469867,      -5.524585623,      -4.636925908,      0.1408991654,       9.201023982,       9.201023982,      0.1186303743,       1.167261867,       1.164700995
          28,      -6.866561998,      -5.267465063,      -5.598460496,      -4.640207237,      0.1376758336,       11.04122878,       11.04122878,      0.1185278525,       1.167045175,       1.164410623
          29,      -6.991258683,       -5.26580029,      -5.689950486,      -4.644108947,      0.1338412645,       13.24947453,       13.24947453,      0.1184050699,       1.166779456,       1.164057177
          30,      -7.176428537,      -5.269592151,      -5.724311265,      -4.648742383,      0.1292847047,       15.89936944,       15.89936944,      0.1182590407,       1.166457042,       1.163633273
          31,      -7.091271981,      -5.278598571,      -5.699970978,        -4.6542373,      0.1238766838,       19.07924333,       19.07924333,      0.1180876544,       1.166069465,       1.163132064
          32,      -7.048871386,      -5.288920442,      -5.672468205,      -4.660744999,      0.1174657864,       22.89509199,       22.89509199,      0.1178893117,       1.165607196,       1.162546801
