"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      
           0,      -5.898334903,      -4.512512494,       -4.77160806,      -7.274146563,       -2.19914048,               2.4,               2.4,      0.1605649263,      0.9920831787,       1.070544478
           1,      -5.971184711,      -4.514799388,      -4.788888056,      -7.271556976,      -2.132663754,              2.88,              2.88,      0.1607772814,        0.99283095,       1.071814814
           2,      -5.998356046,      -4.515675269,      -4.810776568,      -7.270778556,       -2.24423513,             3.456,             3.456,      0.1610018846,      0.9935957977,       1.073108605
           3,      -6.029396519,      -4.515636064,      -4.834228116,      -7.269267787,      -2.466213977,            4.1472,            4.1472,      0.1612254204,      0.9943078156,       1.074311027
           4,      -6.086187939,      -4.515293169,        -4.8537207,      -7.266606212,      -2.580687308,           4.97664,           4.97664,       0.161443244,      0.9949382194,       1.075374259
           5,      -6.159904854,      -4.515297154,      -4.864276847,      -7.264271656,      -2.506265233,          5.971968,          5.971968,      0.1616626665,      0.9955063545,       1.076330505
           6,       -6.20808035,      -4.516091148,        -4.8644301,      -7.262681521,      -2.517630744,         7.1663616,         7.1663616,      0.1619019994,       0.996068087,       1.077274455
           7,      -6.218445903,      -4.517686377,      -4.856405403,      -7.260571842,      -2.618413466,        8.59963392,        8.59963392,      0.1621810368,      0.9966904262,       1.078319158
           8,      -6.225488214,      -4.519498586,      -4.845580828,      -7.257257063,      -2.779270206,        10.3195607,        10.3195607,      0.1625159147,      0.9974263095,       1.079553524
           9,       -6.23411947,      -4.520850875,      -4.837368723,      -7.253014464,      -2.973654553,       12.38347284,       12.38347284,       0.162919507,      0.9983125383,       1.081038285
          10,      -6.235457792,      -4.521500132,      -4.832956046,      -7.247906646,      -3.156903722,       14.86016741,       14.86016741,      0.1634050879,      0.9993810276,       1.082824914
          11,      -6.228039788,      -4.521603477,      -4.829973575,      -7.241769677,      -3.266342711,        17.8322009,        17.8322009,      0.1639893549,       1.000669515,       1.084974089
          12,      -6.192942172,      -4.521388956,       -4.82585546,      -7.234514718,      -3.287513071,       21.39864108,       21.39864108,      0.1646937903,       1.002226755,       1.087564592
          13,      -6.138313861,      -4.521081034,      -4.819726618,      -7.226007845,      -3.262261651,       25.67836929,       25.67836929,      0.1655458533,       1.004116004,       1.090698329
          14,      -6.086618951,      -4.520730463,      -4.811760865,      -7.216519609,      -3.225516662,       30.81404315,       30.81404315,      0.1665809015,       1.006420447,       1.094507202
          15,      -5.988831236,      -4.519723877,      -4.802650021,      -7.205714351,      -3.181769566,       36.97685178,       36.97685178,      0.1678426566,       1.009244655,       1.099152106
          16,      -5.979168179,      -4.518784857,      -4.792350293,      -7.194160915,      -3.149511759,       44.37222213,       44.37222213,      0.1693804555,       1.012706427,       1.104806372
          17,      -6.053344812,      -4.516420298,      -4.781281547,      -7.182081362,      -3.120323965,       53.24666656,       53.24666656,      0.1712470278,        1.01692975,       1.111644712
          18,       -6.01347041,      -4.510770996,      -4.769551163,      -7.169709105,      -3.082424082,       63.89599987,       63.89599987,      0.1735016622,       1.022052793,         1.1198605
          19,      -5.974453451,      -4.502752872,      -4.752426162,      -7.157976854,      -3.041233098,       76.67519985,       76.67519985,      0.1762229263,       1.028271079,       1.129736865
          20,      -5.921693212,      -4.492827312,      -4.732237657,      -7.148839336,      -2.999543187,       7.667519985,       7.667519985,      0.1795273551,        1.03590086,       1.141736607
          21,      -5.792673952,      -4.481220299,      -4.711143241,      -7.179098793,      -3.018125576,       9.201023982,       9.201023982,      0.1798529557,       1.036642836,       1.142904785
          22,      -5.977503836,      -4.487153659,      -4.743741076,      -7.178932762,      -3.077256451,       11.04122878,       11.04122878,      0.1802477758,       1.037551281,       1.144331388
          23,      -6.083250544,      -4.488728576,      -4.774098615,      -7.175520332,      -3.111712012,       13.24947453,       13.24947453,       0.180724162,       1.038653122,       1.146057501
          24,      -6.181284635,        -4.4910108,      -4.781399729,      -7.173162319,       -3.16716591,       15.89936944,       15.89936944,      0.1812981159,        1.03998533,       1.148139349
          25,      -6.177431956,      -4.494217981,      -4.772872778,       -7.17031643,      -3.212297047,       19.07924333,       19.07924333,       0.181989917,        1.04159594,       1.150649366
          26,      -6.118748345,      -4.496778566,      -4.762255679,       -7.16612563,      -3.218240858,       22.89509199,       22.89509199,      0.1828250673,       1.043547178,        1.15368067
          27,      -6.070840569,      -4.498017426,      -4.755510415,      -7.161028749,      -3.201296628,       27.47411039,       27.47411039,       0.183835212,       1.045918914,       1.157351861
          28,      -6.055928248,      -4.498134087,      -4.750444544,      -7.155341613,      -3.175208041,       32.96893247,       32.96893247,      0.1850592037,       1.048813649,       1.161813588
          29,      -6.042781284,      -4.497110456,       -4.74366123,      -7.149235424,      -3.146576388,       39.56271897,       39.56271897,      0.1865436607,        1.05235966,       1.167251561
          30,      -6.004034217,      -4.494538217,      -4.734650536,      -7.142942196,      -3.111021177,       47.47526276,       47.47526276,      0.1883427056,       1.056707848,       1.173881254
          31,      -5.984529396,      -4.490525269,       -4.72310979,      -7.137185199,      -3.079991165,       56.97031531,       56.97031531,      0.1905191084,       1.062025829,       1.181943641
          32,      -5.914535496,      -4.484609847,      -4.709550344,      -7.132420674,      -3.041421592,       68.36437837,       68.36437837,      0.1931527464,       1.068510536,       1.191734133
          33,      -5.898838012,      -4.478629094,        -4.6942767,       -7.13017487,      -3.005166307,       68.36437837,       68.36437837,      0.1963544695,       1.076426436,       1.203663367
          34,      -5.828069478,      -4.470660121,      -4.677524627,        -7.1355818,      -2.985774301,       68.36437837,       68.36437837,      0.1995992981,       1.084467357,       1.215767824
          35,      -5.802854236,      -4.464296439,      -4.666751786,      -7.141470652,      -2.976543179,       68.36437837,       68.36437837,       0.202876246,       1.092612493,       1.228004251
          36,      -5.800389504,      -4.458723878,      -4.658119432,      -7.148104743,       -2.98141425,       68.36437837,       68.36437837,      0.2061591566,        1.10080595,       1.240269953
          37,      -5.787891343,      -4.453565511,      -4.650231298,      -7.154317556,      -2.983091198,       68.36437837,       68.36437837,      0.2094164427,       1.108973533,       1.252439359
          38,      -5.781968581,      -4.448988818,      -4.642535096,      -7.159944348,      -2.983262193,       68.36437837,       68.36437837,      0.2126206926,       1.117045155,       1.264403022
          39,      -5.783571986,      -4.444933373,      -4.635579863,      -7.164857482,      -2.984346241,       68.36437837,       68.36437837,      0.2157528075,       1.124965575,       1.276081196
