"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      ,   "Cauchy[CD]"   
           0,      -4.080216688,      -16.36177056,      -17.13083359,      -8.534818319,               2.4,               2.4,      0.5727474622,      0.7665342891,       1.085805713,                 1
           1,       -4.23674987,      -4.090611432,      -3.960867036,       -8.71471113,              2.88,              2.88,      0.6239340039,      0.9085184193,       1.276060186,   0.0003281535634
           2,      -4.407455223,      -4.285487426,      -4.151319214,      -8.975989476,             3.456,             3.456,      0.6548542504,       1.019672344,       1.425991664,   0.0005170215231
           3,      -4.506410804,      -4.398693518,      -4.244390646,      -9.190892203,            4.1472,            4.1472,      0.6711494793,       1.097708548,       1.530853525,   0.0006141398513
           4,      -4.569855886,      -4.472740682,      -4.300044306,      -9.423278686,           4.97664,           4.97664,      0.6769751775,       1.147382018,       1.596779582,   0.0006485617825
           5,      -4.618331304,      -4.529236727,      -4.344245277,      -9.523053533,          5.971968,          5.971968,      0.6752013198,       1.176534022,       1.634403888,   0.0006590703976
           6,      -4.659658829,      -4.577478214,      -4.383712451,      -9.614889346,         7.1663616,         7.1663616,      0.6683298401,       1.192846013,       1.654252911,   0.0007001966755
           7,      -4.697219208,      -4.621853779,      -4.420450514,      -9.710956263,        8.59963392,        8.59963392,      0.6584769174,       1.202222625,       1.664471496,    0.000760049481
           8,      -4.732544951,      -4.664288792,      -4.455236385,      -9.780078889,        10.3195607,        10.3195607,      0.6471735563,       1.208457401,       1.670317843,   0.0008299124168
           9,      -4.766209679,       -4.70515943,      -4.488242037,      -9.843887198,       12.38347284,       12.38347284,      0.6353387504,       1.213597825,        1.67463596,   0.0009044226267
          10,       -4.79803816,      -4.743915532,      -4.519035191,      -9.907815604,       14.86016741,       14.86016741,      0.6233695453,        1.21852518,       1.678633775,    0.000981225898
          11,       -4.82694019,      -4.779080668,      -4.546336845,      -9.960169016,        17.8322009,        17.8322009,      0.6112482845,       1.223490469,       1.682596917,    0.001060547254
          12,      -4.850692878,      -4.807846503,      -4.567604293,      -10.00768648,       21.39864108,       21.39864108,      0.5985381386,       1.228450565,       1.686298426,    0.001145488515
          13,      -4.865818779,       -4.82581681,      -4.579205077,      -10.04119782,       25.67836929,       25.67836929,      0.5843181847,       1.233271313,       1.689185605,    0.001242832422
          14,      -4.868964181,       -4.82812385,        -4.5781418,        -10.065811,       30.81404315,       30.81404315,      0.5672507428,       1.238239244,       1.690918734,    0.001363184433
          15,      -4.860879582,      -4.812066353,      -4.564236203,      -10.08209154,       3.081404315,       3.081404315,      0.5456643057,       1.244817202,       1.692165352,     0.00152142412
          16,      -4.847032814,      -4.778432483,      -4.541022209,      -10.10228649,       3.697685178,       3.697685178,      0.5434668295,        1.24550583,       1.692296571,    0.001537597884
          17,       -4.84152649,      -4.773844576,       -4.53554064,      -10.10027443,       4.437222213,       4.437222213,      0.5408016389,       1.246347967,       1.692445419,    0.001557310773
          18,      -4.835517585,       -4.76718253,      -4.529035334,      -10.09823694,       5.324666656,       5.324666656,      0.5375659678,       1.247383428,        1.69261496,    0.001581387231
          19,      -4.829094978,      -4.757678327,      -4.521354242,      -10.09644763,       6.389599987,       6.389599987,      0.5336315018,       1.248673171,       1.692818574,    0.001610879238
          20,       -4.82232617,      -4.744684498,      -4.512360682,      -10.09487341,       7.667519985,       7.667519985,      0.5288381501,       1.250309278,       1.693086599,    0.001647134956
          21,      -4.815214286,      -4.727903797,      -4.501965191,      -10.09293455,       9.201023982,       9.201023982,      0.5229853469,       1.252433998,       1.693482062,    0.001691899524
          22,      -4.807675223,      -4.707499004,      -4.490164367,      -10.09048812,       11.04122878,       11.04122878,      0.5158167238,       1.255272123,       1.694130296,     0.00174748999
          23,      -4.799550491,      -4.684001314,      -4.477083811,       -10.0873053,       13.24947453,       13.24947453,      0.5069923887,        1.25917714,       1.695258954,    0.001817111036
          24,      -4.790689094,      -4.658032677,      -4.462973172,      -10.08320307,       15.89936944,       15.89936944,      0.4960700167,       1.264670353,        1.69721678,    0.001905182249
          25,      -4.781091074,      -4.630019242,      -4.448120286,      -10.07802347,       19.07924333,       19.07924333,      0.4825527367,       1.272402338,       1.700382974,    0.002017230355
          26,      -4.771026971,      -4.600143102,      -4.432734242,      -10.07193039,       22.89509199,       22.89509199,      0.4659714882,       1.282916848,       1.704825897,    0.002159567376
          27,      -4.761119217,      -4.568470429,      -4.416833186,      -10.06449714,       27.47411039,       27.47411039,      0.4458251519,        1.29607498,       1.709592947,     0.00234032287
          28,      -4.752326985,      -4.535290929,      -4.400308113,      -10.05671374,       32.96893247,       32.96893247,      0.4213358846,       1.310116959,       1.711703944,    0.002572814505
          29,      -4.745882364,      -4.501524591,      -4.383262405,      -10.04870823,       39.56271897,       39.56271897,      0.3914824493,       1.320605865,       1.705209324,    0.002877844121
          30,      -4.743048885,      -4.469171315,      -4.366651627,       -10.0405542,       3.956271897,       3.956271897,      0.3557330624,       1.319834943,       1.680852732,     0.00327982404
          31,      -4.744717718,      -4.441408745,      -4.352690714,      -10.05738763,       4.747526276,       4.747526276,       0.352100947,       1.319714328,       1.678313274,    0.003321086246
          32,      -4.741147441,       -4.43759347,      -4.347946283,      -10.05253795,       5.697031531,       5.697031531,      0.3477438639,       1.319367742,       1.675019041,    0.003371204549
