"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      ,   "Cauchy[CD]"   
           0,      -4.459457458,        -16.797597,      -17.27674058,      -1.383204702,       3.355101323,               2.4,               2.4,      0.5736412148,      0.9649113034,       1.387458427,                 1
           1,      -4.623905437,      -4.416392225,      -4.304008544,      -1.925920358,       2.816561504,              2.88,              2.88,      0.7693612391,       1.420953346,       2.007220876,    0.001017571535
           2,       -4.78680547,      -4.796347292,      -4.537449193,      -2.431484959,       2.317120083,             3.456,             3.456,        0.91786639,       1.761254868,       2.477726952,    0.001664746996
           3,         -4.883514,      -4.887159823,       -4.62120681,      -2.878383119,       1.878281779,            4.1472,            4.1472,       1.018935831,       1.997084441,       2.805416201,     0.00206151169
           4,      -4.949951905,      -4.948372142,      -4.671155618,      -3.240004844,       1.524610581,           4.97664,           4.97664,       1.082861898,       2.148543147,       3.016003066,    0.002297649159
           5,      -5.000599363,       -4.99775363,      -4.712282017,      -3.506967048,       1.262461327,          5.971968,          5.971968,       1.120254907,       2.239547739,       3.142135593,    0.002431165232
           6,      -5.043261729,      -5.040372877,      -4.749692368,      -3.700548294,       1.070386533,         7.1663616,         7.1663616,       1.140900876,       2.293056211,       3.215644364,    0.002503550027
           7,      -5.082269201,      -5.079098892,      -4.784446562,      -3.850185067,      0.9207182425,        8.59963392,        8.59963392,       1.152689843,       2.327437235,       3.262105287,    0.002544459444
           8,      -5.119688145,      -5.115839234,      -4.817127308,      -3.975321473,      0.7951839056,        10.3195607,        10.3195607,       1.160958087,       2.354936948,       3.298605297,    0.002572947101
           9,      -5.156347494,      -5.151606343,      -4.848272802,      -4.086140088,      0.6840145395,       12.38347284,       12.38347284,       1.168629326,       2.382203874,       3.334458219,     0.00259920432
