"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      ,   "Cauchy[CD]"   
           0,      -4.004817061,      -16.49198587,      -16.96334675,     -0.7652762478,       3.973029777,               2.4,               2.4,      0.5183975227,      0.6758445588,       1.018961911,                 1
           1,      -4.166390848,      -3.862846798,      -3.836993561,      -1.337395784,       3.403459438,              2.88,              2.88,      0.7394122602,       1.223074587,       1.756694035,    0.001195623873
           2,      -4.324923529,       -4.34048334,      -4.093533388,      -1.889096312,       2.855413739,             3.456,             3.456,      0.9145100329,        1.63014061,       2.317166122,    0.001961488725
           3,      -4.422278618,      -4.429667957,      -4.177243648,      -2.404058047,        2.34665167,            4.1472,            4.1472,       1.033283447,       1.911735245,       2.706672263,    0.002421278976
           4,      -4.492470008,      -4.491282883,      -4.224591071,      -2.848674283,       1.910947443,           4.97664,           4.97664,       1.107212202,       2.091991729,       2.955737632,    0.002688359685
           5,      -4.545624134,      -4.541285739,      -4.264346312,      -3.180266041,        1.58765605,          5.971968,          5.971968,       1.147948857,       2.197663767,       3.100760049,    0.002830305572
           6,      -4.588806167,      -4.584235075,      -4.301984624,       -3.40108946,       1.370207432,         7.1663616,         7.1663616,       1.166553246,          2.254569,       3.177566412,     0.00289409825
           7,       -4.62711391,      -4.623019559,      -4.337930689,      -3.557274574,       1.214062909,        8.59963392,        8.59963392,       1.172437049,       2.284240247,        3.21615505,    0.002914172006
           8,      -4.663310209,      -4.659745157,      -4.372181558,      -3.683239772,       1.087442436,        10.3195607,        10.3195607,       1.172526489,       2.302119077,       3.238032372,    0.002914477126
           9,      -4.698587607,      -4.695586428,      -4.404805736,      -3.794081308,      0.9761821611,       12.38347284,       12.38347284,       1.171166617,       2.317687708,       3.256406545,    0.002919121632
          10,        -4.7333836,      -4.730883547,      -4.435857834,      -3.896019623,      0.8741424634,       14.86016741,       14.86016741,       1.170582822,       2.335781473,       3.278034529,    0.002921116516
          11,      -4.767610459,      -4.765342142,      -4.465239642,      -3.991928558,      0.7783501361,        17.8322009,        17.8322009,       1.171583939,       2.358284693,       3.305557463,    0.002924534509
          12,      -4.800715391,      -4.798141038,      -4.492397231,      -4.083225526,      0.6873085321,       21.39864108,       21.39864108,       1.174059872,       2.385376168,       3.339165725,    0.002932969967
          13,      -4.831424558,      -4.827652743,      -4.516093132,       -4.17071357,       0.600171977,       25.67836929,       25.67836929,       1.177258639,       2.416301371,        3.37761068,    0.002943838495
          14,      -4.857483686,       -4.85095315,      -4.534130146,       -4.25486177,      0.5164510488,       30.81404315,       30.81404315,       1.179849039,       2.449740709,       3.418653043,    0.002952620636
          15,      -4.875728255,      -4.863480027,      -4.543432633,      -4.335975709,      0.4358292877,       3.081404315,       3.081404315,       1.179796762,       2.483785275,       3.458941107,    0.002952797876
