"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      ,   "Cauchy[CD]"   
           0,      -4.147509963,       -16.5941365,      -17.04736816,     -0.9422613345,        3.79604469,               2.4,               2.4,      0.5212193371,      0.6989154191,       1.046290946,                 1
           1,      -4.309747626,      -4.011838239,      -3.976411616,      -1.508199953,       3.233061038,              2.88,              2.88,      0.7408052129,       1.238068556,       1.774805106,    0.001185660532
           2,       -4.47004972,      -4.479411826,      -4.236403896,      -2.049660131,       2.695876104,             3.456,             3.456,       0.913706415,       1.639613898,       2.328422814,    0.001942582884
           3,      -4.567295013,      -4.568669155,      -4.318530145,      -2.547897998,       2.204524784,            4.1472,            4.1472,       1.031320859,       1.918264046,       2.714108677,    0.002398753021
           4,      -4.637139227,      -4.630433957,      -4.365915202,      -2.968671756,        1.79268865,           4.97664,           4.97664,       1.104888878,       2.097225763,        2.96156519,    0.002665089374
           5,      -4.690118367,      -4.680529879,      -4.405769353,      -3.278827121,       1.489772974,          5.971968,          5.971968,        1.14590709,       2.202817055,       3.106689383,    0.002808271006
           6,      -4.733381238,      -4.723568867,      -4.443338706,      -3.490441131,       1.280862157,         7.1663616,         7.1663616,       1.165416762,       2.260823846,       3.185246463,    0.002875233051
           7,      -4.771949965,       -4.76246123,      -4.479027874,      -3.645062118,       1.126277991,        8.59963392,        8.59963392,       1.172794463,       2.292746656,       3.227162293,    0.002900395862
           8,      -4.808556831,      -4.799333281,      -4.512874446,      -3.771463038,      0.9993301932,        10.3195607,        10.3195607,        1.17483839,       2.313810737,       3.253635484,    0.002907354866
           9,      -4.844359288,      -4.835349233,      -4.545082272,      -3.882898528,      0.8875002174,       12.38347284,       12.38347284,       1.175688448,       2.333109844,       3.277346238,    0.002910246985
          10,      -4.879708456,      -4.870840325,      -4.575854157,      -3.985301573,      0.7849451464,       14.86016741,       14.86016741,       1.177421775,        2.35515855,       3.304627894,    0.002916135537
          11,      -4.914581289,      -4.905629924,      -4.605185855,      -4.081570652,      0.6887089712,        17.8322009,        17.8322009,       1.180730805,        2.38154398,       3.337729196,    0.002927345645
          12,      -4.948568283,      -4.939130566,      -4.632779629,      -4.173323095,       0.597122555,       21.39864108,       21.39864108,       1.185439775,       2.412165799,       3.376485619,    0.002943235005
          13,      -4.980734537,       -4.97019587,       -4.65788751,      -4.261519625,      0.5091946901,       25.67836929,       25.67836929,       1.190796302,       2.446004892,        3.41934062,    0.002961228098
          14,      -5.009444252,      -4.996783822,      -4.679020903,      -4.346729047,       0.424337666,       30.81404315,       30.81404315,       1.195631869,       2.481647463,       3.464026504,    0.002977405543
          15,      -5.032294257,      -5.015597808,      -4.693756989,      -4.429244379,      0.3422462734,       36.97685178,       36.97685178,       1.198344184,       2.517483281,        3.50776047,    0.002986459084
          16,      -5.046402508,      -5.022100095,      -4.699322253,      -4.509259339,      0.2627180121,       3.697685178,       3.697685178,       1.196760482,       2.551626548,       3.547020397,    0.002991752378
          17,      -5.049958331,      -5.011583675,      -4.694229192,      -4.586878232,      0.1854378434,       4.437222213,       4.437222213,       1.196548487,        2.55497192,       3.550836256,    0.002992461069
          18,      -5.046127066,      -5.007272897,      -4.690312111,      -4.594493686,      0.1778643183,       5.324666656,       5.324666656,       1.196222899,       2.558861616,       3.555225756,     0.00299354979
          19,      -5.041664918,      -5.001782773,      -4.685670554,      -4.603389468,      0.1690185453,       6.389599987,       6.389599987,       1.195730453,       2.563354377,       3.560225868,    0.002995197138
          20,      -5.036534263,      -4.994720979,      -4.680177055,      -4.613734471,      0.1587329971,       7.667519985,       7.667519985,       1.194993061,       2.568499693,       3.565848127,    0.002997665407
          21,      -5.030710331,      -4.985654658,      -4.673691847,      -4.625704122,      0.1468337893,       9.201023982,       9.201023982,       1.193897404,       2.574329768,       3.572062235,    0.003001336266
          22,       -5.02417194,      -4.974185141,      -4.666080849,      -4.639474988,       0.133146026,       11.04122878,       11.04122878,       1.192278743,       2.580847781,       3.578772529,    0.003006766745
          23,      -5.016885109,      -4.960016826,      -4.657257941,      -4.655220028,       0.117498364,       13.24947453,       13.24947453,       1.189893598,       2.588014512,       3.585787573,    0.003014784756
          24,      -5.008798059,       -4.94296129,      -4.647245965,      -4.673100852,     0.09973060089,       15.89936944,       15.89936944,        1.18637513,       2.595729216,       3.592773477,    0.003026647673
          25,      -4.999868418,      -4.922871818,       -4.63623413,      -4.693259855,     0.07970077676,       19.07924333,       19.07924333,       1.181188863,        2.60379602,       3.599175876,    0.003044210545
          26,      -4.990136475,      -4.899591979,      -4.624592445,      -4.715812138,     0.05729125495,       22.89509199,       22.89509199,       1.173639807,       2.611870478,       3.604099784,    0.003069939245
          27,      -4.979858418,      -4.872977541,      -4.612791242,      -4.740820879,     0.03243531147,       27.47411039,       27.47411039,       1.162927162,       2.619336335,       3.606089698,    0.003106786417
          28,      -4.969539071,      -4.843068943,      -4.601327215,      -4.768303781,    0.005109735388,       32.96893247,       32.96893247,       1.148065863,       2.625030554,       3.602725787,    0.003158564978
